alpha body, Neutral Point
 -10.000000,    0.203581
  -9.000000,    0.214543
  -8.000000,    0.236051
  -7.000000,    0.257429
  -6.000000,    0.278842
  -5.000000,    0.299780
  -4.000000,    0.316875
  -3.000000,    0.329932
  -2.000000,    0.351090
  -1.000000,    0.372511
   0.000000,    0.385295
   1.000000,    0.397904
   2.000000,    0.410269
   3.000000,    0.421731
   4.000000,    0.432609
   5.000000,    0.443300
   6.000000,    0.453678
   7.000000,    0.463593
   8.000000,    0.474001
   9.000000,    0.489026
  10.000000,    0.513492
  11.000000,    0.554904
  12.000000,    0.639034
  13.000000,    0.839515
  14.000000,    1.465139
  15.000000,  491.776909
  16.000000,  488.845060
  17.000000,   -3.392667
  18.000000,   -2.911715
  19.000000,   -3.742526
