alpha body, Neutral Point
 -10.000000,    0.212681
  -9.000000,    0.223061
  -8.000000,    0.243473
  -7.000000,    0.263829
  -6.000000,    0.284273
  -5.000000,    0.304337
  -4.000000,    0.320809
  -3.000000,    0.333491
  -2.000000,    0.353936
  -1.000000,    0.374670
   0.000000,    0.387221
   1.000000,    0.399654
   2.000000,    0.411903
   3.000000,    0.423324
   4.000000,    0.434220
   5.000000,    0.444975
   6.000000,    0.455465
   7.000000,    0.465545
   8.000000,    0.476103
   9.000000,    0.490971
  10.000000,    0.514645
  11.000000,    0.554199
  12.000000,    0.634042
  13.000000,    0.823909
  14.000000,    1.416601
  15.000000, -2760.996308
  16.000000, -2763.765133
  17.000000,   -3.172803
  18.000000,   -2.721918
  19.000000,   -3.505456
  20.000000,   -4.249164
