eta, D
   0.000000,  246.469242
   0.020408,  246.469242
   0.040816,  246.469242
   0.061224,  246.469242
   0.081633,  246.469242
   0.102041,  246.469242
   0.122449,  246.469242
   0.142857,  246.469242
   0.163265,  246.469242
   0.183673,  246.469242
   0.204082,  246.469242
   0.224490,  246.469242
   0.244898,  246.469242
   0.265306,  246.469242
   0.285714,  246.469242
   0.306122,  246.469242
   0.326531,  246.469242
   0.346939,  246.469242
   0.367347,  246.469242
   0.387755,  246.469242
   0.408163,  246.469242
   0.428571,  246.469242
   0.448980,  246.469242
   0.469388,  246.469242
   0.489796,  246.469242
   0.510204,  246.469242
   0.530612,  246.469242
   0.551020,  246.469242
   0.571429,  246.469242
   0.591837,  246.469242
   0.612245,  246.469242
   0.632653,  246.469242
   0.653061,  246.469242
   0.673469,  246.469242
   0.693878,  246.469242
   0.714286,  246.469242
   0.734694,  246.469242
   0.755102,  246.469242
   0.775510,  246.469242
   0.795918,  246.469242
   0.816327,  246.469242
   0.836735,  246.469242
   0.857143,  246.469242
   0.877551,  246.469242
   0.897959,  246.469242
   0.918367,  246.469242
   0.938776,  246.469242
   0.959184,  246.469242
   0.979592,  246.469242
   1.000000,  246.469242
