eta, Basic_load
   0.000000, 11165.004952
   0.020408, 11061.103164
   0.040816, 11024.592943
   0.061224, 10970.934953
   0.081633, 10902.773651
   0.102041, 10821.852489
   0.122449, 10729.438610
   0.142857, 10626.492397
   0.163265, 10513.752561
   0.183673, 10391.782471
   0.204082, 10260.994482
   0.224490, 10121.658937
   0.244898, 9973.899460
   0.265306, 9817.672307
   0.285714, 9649.455438
   0.306122, 9470.481732
   0.326531, 9290.409313
   0.346939, 9094.211958
   0.367347, 8891.201151
   0.387755, 8682.724364
   0.408163, 8469.813922
   0.428571, 8253.314862
   0.448980, 8033.938201
   0.469388, 7812.290501
   0.489796, 7588.893033
   0.510204, 7364.153313
   0.530612, 7138.463582
   0.551020, 6912.196538
   0.571429, 6685.629911
   0.591837, 6458.993067
   0.612245, 6232.467784
   0.632653, 6006.187217
   0.653061, 5780.232855
   0.673469, 5554.629069
   0.693878, 5329.334589
   0.714286, 5104.229899
   0.734694, 4879.098981
   0.755102, 4653.602961
   0.775510, 4427.241839
   0.795918, 4199.298088
   0.816327, 3968.751827
   0.836735, 3734.149692
   0.857143, 3493.395025
   0.877551, 3243.397056
   0.897959, 2979.449734
   0.918367, 2694.043356
   0.938776, 2374.323604
   0.959184, 1995.614744
   0.979592, 1498.553420
   1.000000,    0.000000
