eta, gamma
   0.000000,   55.066031
   0.020408,   55.056248
   0.040816,   55.026277
   0.061224,   54.975300
   0.081633,   54.902948
   0.102041,   54.808982
   0.122449,   54.693223
   0.142857,   54.555525
   0.163265,   54.395759
   0.183673,   54.213792
   0.204082,   54.009488
   0.224490,   53.782691
   0.244898,   53.533217
   0.265306,   53.260853
   0.285714,   52.965345
   0.306122,   52.646389
   0.326531,   52.303629
   0.346939,   51.936647
   0.367347,   51.544954
   0.387755,   51.127982
   0.408163,   50.685075
   0.428571,   50.215479
   0.448980,   49.718328
   0.469388,   49.192632
   0.489796,   48.637259
   0.510204,   48.050602
   0.530612,   47.431141
   0.551020,   46.777488
   0.571429,   46.087711
   0.591837,   45.359601
   0.612245,   44.590623
   0.632653,   43.777864
   0.653061,   42.917960
   0.673469,   42.007011
   0.693878,   41.040472
   0.714286,   40.013005
   0.734694,   38.918302
   0.755102,   37.748831
   0.775510,   36.495501
   0.795918,   35.147190
   0.816327,   33.690069
   0.836735,   32.106583
   0.857143,   30.373870
   0.877551,   28.461156
   0.897959,   26.325161
   0.918367,   23.901251
   0.938776,   21.084115
   0.959184,   17.676862
   0.979592,   13.204016
   1.000000,    0.000000
