eta, gamma
   0.000000,  275.330156
   0.020408,  275.281238
   0.040816,  275.131387
   0.061224,  274.876502
   0.081633,  274.514742
   0.102041,  274.044909
   0.122449,  273.466113
   0.142857,  272.777627
   0.163265,  271.978793
   0.183673,  271.068962
   0.204082,  270.047442
   0.224490,  268.913453
   0.244898,  267.666085
   0.265306,  266.304267
   0.285714,  264.826723
   0.306122,  263.231945
   0.326531,  261.518147
   0.346939,  259.683237
   0.367347,  257.724770
   0.387755,  255.639909
   0.408163,  253.425375
   0.428571,  251.077394
   0.448980,  248.591639
   0.469388,  245.963159
   0.489796,  243.186297
   0.510204,  240.253012
   0.530612,  237.155706
   0.551020,  233.887440
   0.571429,  230.438556
   0.591837,  226.798004
   0.612245,  222.953114
   0.632653,  218.889318
   0.653061,  214.589799
   0.673469,  210.035056
   0.693878,  205.202358
   0.714286,  200.065025
   0.734694,  194.591510
   0.755102,  188.744154
   0.775510,  182.477503
   0.795918,  175.735952
   0.816327,  168.450347
   0.836735,  160.532915
   0.857143,  151.869349
   0.877551,  142.305778
   0.897959,  131.625806
   0.918367,  119.506256
   0.938776,  105.420576
   0.959184,   88.384310
   0.979592,   66.020079
   1.000000,    0.000000
