Block fuel (kg), LTO UHC (kg)
2095.524663,    0.006112
2095.762947,    0.006112
2095.433988,    0.006112
2095.516445,    0.006112
2095.237922,    0.006112
2095.503108,    0.006112
2095.562994,    0.006112
2096.112285,    0.006112
2096.152472,    0.006112
2098.945933,    0.006112
2095.463770,    0.006112
2096.905145,    0.006112
2096.912788,    0.006112
2096.949074,    0.006112
2095.200318,    0.006112
2095.272341,    0.006112
2096.046429,    0.006112
2096.817785,    0.006112
2096.400482,    0.006112
2094.960525,    0.006112
2098.503055,    0.006112
2098.496940,    0.006112
2096.858068,    0.006112
2096.921487,    0.006112
2095.861029,    0.006112
2095.140869,    0.006112
2098.342854,    0.006112
2099.788533,    0.006112
2097.010106,    0.006112
2095.911034,    0.006112
2097.814592,    0.006112
2095.882898,    0.006112
2096.966874,    0.006112
2095.930101,    0.006112
2094.172484,    0.006112
2098.567990,    0.006112
2097.453724,    0.006112
2094.193830,    0.006112
2097.336933,    0.006112
2099.782137,    0.006112
2099.749749,    0.006112
2098.550417,    0.006112
2097.597560,    0.006112
2099.941690,    0.006112
2094.705803,    0.006112
2099.649069,    0.006112
2099.120259,    0.006112
2096.540053,    0.006112
2096.712409,    0.006112
2099.940855,    0.006112
2094.230016,    0.006112
2098.895376,    0.006112
2098.480798,    0.006112
2094.738006,    0.006112
2094.202481,    0.006112
2094.773709,    0.006112
2097.299881,    0.006112
2096.042600,    0.006112
2097.151411,    0.006112
2094.902408,    0.006112
2100.961041,    0.006112
2099.725653,    0.006112
2095.652370,    0.006112
2094.827678,    0.006112
2099.228882,    0.006112
2094.156566,    0.006112
2100.904748,    0.006112
2095.023369,    0.006112
2098.477729,    0.006112
2100.847579,    0.006112
2096.359780,    0.006112
2098.924587,    0.006112
2094.921798,    0.006112
2099.640773,    0.006112
2097.622800,    0.006112
2099.573723,    0.006112
2099.724861,    0.006112
2096.621375,    0.006112
2099.117215,    0.006112
2095.758651,    0.006112
2098.774191,    0.006112
2098.030611,    0.006112
2099.691429,    0.006112
2097.606332,    0.006112
2096.817486,    0.006112
2097.952671,    0.006112
2100.844567,    0.006112
2100.977274,    0.006112
2096.195489,    0.006112
2094.092485,    0.006112
2096.594433,    0.006112
2096.498534,    0.006112
2094.816028,    0.006112
2096.579818,    0.006112
2096.212191,    0.006112
2098.095369,    0.006112
2095.873406,    0.006112
2097.798133,    0.006112
2101.079475,    0.006112
2096.516010,    0.006112
2099.690127,    0.006112
2098.564980,    0.006112
2096.338721,    0.006112
2096.680947,    0.006112
2096.470995,    0.006112
2096.655036,    0.006112
2094.747402,    0.006112
2094.603379,    0.006112
2096.433602,    0.006112
2099.498091,    0.006112
2094.101646,    0.006112
2094.597098,    0.006112
2095.813963,    0.006112
2098.660765,    0.006112
2096.706051,    0.006112
2097.196782,    0.006112
2096.398006,    0.006112
2094.636089,    0.006112
2098.575223,    0.006112
2097.321286,    0.006112
2099.576874,    0.006112
2094.420681,    0.006112
2101.981162,    0.006112
2094.431965,    0.006112
2096.474293,    0.006112
2097.846009,    0.006112
2094.191314,    0.006112
2098.132337,    0.006112
2096.722933,    0.006112
2094.110310,    0.006112
2099.517916,    0.006112
2098.556757,    0.006112
2094.428072,    0.006112
2094.414733,    0.006112
2094.481947,    0.006112
2101.083323,    0.006112
2102.105337,    0.006112
2096.619998,    0.006112
2099.402601,    0.006112
2099.292150,    0.006112
2097.118082,    0.006112
2096.941323,    0.006112
2101.468639,    0.006112
2101.997167,    0.006112
2101.189388,    0.006112
2101.144425,    0.006112
