alpha body, Efficiency
 -10.000000,   -7.976478
  -9.000000,   -8.030931
  -8.000000,   -7.966835
  -7.000000,   -7.710224
  -6.000000,   -7.155608
  -5.000000,   -6.126850
  -4.000000,   -4.445639
  -3.000000,   -1.976365
  -2.000000,    1.325126
  -1.000000,    5.222671
   0.000000,    9.175197
   1.000000,   12.449146
   2.000000,   14.636418
   3.000000,   15.721771
   4.000000,   15.926274
   5.000000,   15.540517
   6.000000,   14.784129
   7.000000,   13.889173
   8.000000,   12.972453
   9.000000,   12.089728
  10.000000,   11.263240
  11.000000,   10.492989
  12.000000,    9.710172
  13.000000,    8.851186
  14.000000,    7.937355
  15.000000,    7.032540
  16.000000,    6.298132
