alpha body, Efficiency
 -10.000000,   -7.992008
  -9.090909,   -8.047537
  -8.181818,   -8.011588
  -7.272727,   -7.803008
  -6.363636,   -7.364790
  -5.454545,   -6.615838
  -4.545455,   -5.422388
  -3.636364,   -3.620879
  -2.727273,   -1.156617
  -1.818182,    1.961653
  -0.909091,    5.512071
  -0.000000,    9.026869
   0.909091,   12.050763
   1.818182,   14.276872
   2.727273,   15.559457
   3.636364,   15.971828
   4.545455,   15.827635
   5.454545,   15.334282
   6.363636,   14.617259
   7.272727,   13.796030
   8.181818,   12.972978
   9.090909,   12.178705
  10.000000,   11.418067
  10.909091,   10.706039
  11.818182,   10.014010
  12.727273,    9.274427
  13.636364,    8.482242
  14.545455,    7.661200
  15.454545,    6.892750
