alpha body, Efficiency
 -10.000000,   -8.475905
  -9.000000,   -8.534102
  -8.000000,   -8.466400
  -7.000000,   -8.194211
  -6.000000,   -7.604773
  -5.000000,   -6.511444
  -4.000000,   -4.724847
  -3.000000,   -2.100936
  -2.000000,    1.407124
  -1.000000,    5.548312
   0.000000,    9.752959
   1.000000,   13.239607
   2.000000,   15.571386
   3.000000,   16.729665
   4.000000,   16.953358
   5.000000,   16.547226
   6.000000,   15.743577
   7.000000,   14.790644
   8.000000,   13.815605
   9.000000,   12.876597
  10.000000,   11.996444
  11.000000,   11.175612
  12.000000,   10.343464
  13.000000,    9.430078
  14.000000,    8.462332
  15.000000,    7.527617
  16.000000,    6.738300
  17.000000,    6.445973
  18.000000,    6.736464
