alpha body, Efficiency
 -10.000000,   -8.278710
  -9.000000,   -8.335200
  -8.000000,   -8.268634
  -7.000000,   -8.002253
  -6.000000,   -7.426590
  -5.000000,   -6.358877
  -4.000000,   -4.614086
  -3.000000,   -2.051519
  -2.000000,    1.374596
  -1.000000,    5.419131
   0.000000,    9.525738
   1.000000,   12.931184
   2.000000,   15.208767
   3.000000,   16.339132
   4.000000,   16.556139
   5.000000,   16.158613
   6.000000,   15.373378
   7.000000,   14.442688
   8.000000,   13.490604
   9.000000,   12.573806
  10.000000,   11.714530
  11.000000,   10.913191
  12.000000,   10.100644
  13.000000,    9.208468
  14.000000,    8.262164
  15.000000,    7.348241
  16.000000,    6.576959
  17.000000,    6.290569
  18.000000,    6.574115
