alpha body, Efficiency
 -10.000000,   -8.495991
  -9.090909,   -8.555313
  -8.181818,   -8.517445
  -7.272727,   -8.296156
  -6.363636,   -7.830688
  -5.454545,   -7.034335
  -4.545455,   -5.765445
  -3.636364,   -3.850186
  -2.727273,   -1.230452
  -1.818182,    2.084389
  -0.909091,    5.858864
  -0.000000,    9.599854
   0.909091,   12.821521
   1.818182,   15.195399
   2.727273,   16.564340
   3.636364,   17.007828
   4.545455,   16.859713
   5.454545,   16.337037
   6.363636,   15.574083
   7.272727,   14.698859
   8.181818,   13.823626
   9.090909,   12.978148
  10.000000,   12.167636
  10.909091,   11.408438
  11.818182,   10.672175
  12.727273,    9.885489
  13.636364,    9.042587
  14.545455,    8.187783
  15.454545,    7.382464
  16.363636,    6.693271
  17.272727,    6.373332
  18.181818,    6.464863
  19.090909,    6.901387
  20.000000,    7.793981
