alpha body, Efficiency
 -10.000000,   -8.279320
  -9.000000,   -8.335814
  -8.000000,   -8.269243
  -7.000000,   -8.002842
  -6.000000,   -7.427137
  -5.000000,   -6.359345
  -4.000000,   -4.614426
  -3.000000,   -2.051671
  -2.000000,    1.374695
  -1.000000,    5.419527
   0.000000,    9.526435
   1.000000,   12.932130
   2.000000,   15.209880
   3.000000,   16.340380
   4.000000,   16.557404
   5.000000,   16.159845
   6.000000,   15.374548
   7.000000,   14.443783
   8.000000,   13.491624
   9.000000,   12.574754
  10.000000,   11.715410
  11.000000,   10.914009
  12.000000,   10.101399
  13.000000,    9.209155
  14.000000,    8.262793
  15.000000,    7.348799
  16.000000,    6.577468
  17.000000,    6.291054
  18.000000,    6.574621
