alpha body, Efficiency
 -10.000000,   -7.977544
  -9.000000,   -8.032004
  -8.000000,   -7.967900
  -7.000000,   -7.711254
  -6.000000,   -7.156563
  -5.000000,   -6.127668
  -4.000000,   -4.446233
  -3.000000,   -1.976630
  -2.000000,    1.325301
  -1.000000,    5.223364
   0.000000,    9.176445
   1.000000,   12.450854
   2.000000,   14.638437
   3.000000,   15.723945
   4.000000,   15.928570
   5.000000,   15.542752
   6.000000,   14.786245
   7.000000,   13.891150
   8.000000,   12.974365
   9.000000,   12.091496
  10.000000,   11.264874
  11.000000,   10.494501
  12.000000,    9.711632
  13.000000,    8.852502
  14.000000,    7.938893
  15.000000,    7.034028
  16.000000,    6.298966
