alpha body, CLh_e
  -4.000000,   -0.303536
  -3.172414,   -0.267540
  -2.344828,   -0.231002
  -1.517241,   -0.193918
  -0.689655,   -0.156300
   0.137931,   -0.117718
   0.965517,   -0.079073
   1.793103,   -0.039897
   2.620690,   -0.000194
   3.448276,    0.040031
   4.275862,    0.080781
   5.103448,    0.122048
   5.931034,    0.163833
   6.758621,    0.206132
   7.586207,    0.248898
   8.413793,    0.291142
   9.241379,    0.331255
  10.068966,    0.368063
  10.896552,    0.400921
  11.724138,    0.429761
  12.551724,    0.455153
  13.379310,    0.478346
  14.206897,    0.501409
  15.034483,    0.527168
  15.862069,    0.559284
  16.689655,    0.602271
  17.517241,    0.661507
  18.344828,    0.743268
  19.172414,    0.854753
  20.000000,    1.004109
