Mach, Rate of Climb
   0.255541,  -13.046412
   0.257202,  -12.485458
   0.258864,  -12.004638
   0.260525,  -11.839725
   0.262186,  -11.856293
   0.263847,  -12.105707
   0.265508,  -12.606182
   0.267170,  -13.287583
   0.268831,  -14.255584
   0.270492,  -15.385973
   0.272153,  -16.802133
   0.273814,  -18.397818
   0.275476,  -20.239699
   0.277137,  -22.316256
   0.278798,  -24.558266
   0.280459,  -26.481598
   0.282120,  -28.250040
   0.283782,  -30.476848
   0.285443,  -32.716888
   0.287104,  -35.293090
   0.288765,  -38.043651
   0.290426,  -40.907055
   0.292088,  -44.180382
   0.293749,  -47.483126
   0.295410,  -51.098492
   0.297071,  -54.943441
   0.298732,  -58.825860
   0.300394,  -63.162287
   0.302055,  -67.605304
   0.303716,  -72.100837
   0.305377,  -77.113672
   0.307038,  -82.180120
   0.308700,  -87.306257
   0.310361,  -92.958668
   0.312022,  -98.672739
   0.313683, -104.109567
   0.315344, -109.664284
   0.317006, -115.351033
   0.318667, -121.100112
   0.320328, -127.159543
   0.321989, -133.516026
   0.323650, -139.942888
   0.325312, -146.440287
   0.326973, -153.486190
   0.328634, -160.610997
   0.330295, -167.814389
   0.331956, -175.225132
   0.333618, -183.066542
   0.335279, -190.994526
   0.336940, -199.009322
   0.338601, -207.260216
   0.340262, -215.929794
   0.341924, -224.694139
   0.343585, -233.553525
   0.345246, -242.557392
   0.346907, -251.952755
   0.348568, -260.954666
   0.350230, -270.053661
   0.351891, -279.250047
   0.353552, -288.836266
   0.355213, -298.710636
   0.356874, -308.690271
   0.358536, -318.775511
   0.360197, -328.966697
   0.361858, -339.650099
   0.363519, -350.537630
   0.365180, -361.538929
   0.366842, -372.654367
   0.368503, -383.884317
   0.370164, -395.540170
   0.371825, -407.482449
   0.373486, -419.546988
   0.375148, -431.734191
   0.376809, -444.044460
   0.378470, -456.525318
   0.380131, -469.561363
   0.381792, -482.295977
   0.383454, -495.126270
   0.385115, -508.084011
   0.386776, -521.169632
   0.388437, -534.428815
   0.390098, -548.249798
   0.391760, -562.206234
   0.393421, -576.298583
   0.395082, -590.527302
   0.396743, -604.892853
   0.398404, -619.395693
   0.400066, -634.310715
   0.401727, -649.570647
   0.403388, -664.975362
   0.405049, -680.525343
   0.406710, -696.221078
   0.408372, -712.063050
   0.410033, -728.051746
   0.411694, -744.408292
   0.413355, -761.172164
   0.415016, -777.875451
   0.416678, -794.615853
   0.418339, -811.508678
   0.420000, -828.554438
