CLe, Static Stability Margin
   0.789513,   -0.098035
   0.873112,   -0.093647
   0.956869,   -0.084872
   1.040786,   -0.076107
   1.124865,   -0.064622
   1.209224,   -0.055996
   1.293621,   -0.050021
   1.378186,   -0.041126
   1.462920,   -0.032279
   1.547825,   -0.023475
   1.632904,   -0.020032
   1.718156,   -0.024447
   1.803585,   -0.025895
   1.889192,   -0.021821
   1.974739,   -0.016960
   2.055445,   -0.019482
   2.123894,   -0.056256
   2.175200,   -0.195001
   2.207211,   -0.797917
