CLe, Static Stability Margin
   0.856119,    0.215333
   0.946913,    0.218778
   1.037867,    0.225616
   1.128980,    0.232344
   1.220250,    0.241270
   1.311803,    0.247687
   1.403374,    0.251771
   1.495101,    0.258231
   1.586983,    0.264563
   1.679017,    0.270774
   1.771206,    0.272341
   1.863546,    0.267135
   1.956039,    0.264372
   2.048682,    0.266246
   2.141217,    0.268981
   2.228458,    0.266012
   2.302369,    0.234634
   2.357662,    0.117195
   2.392017,   -0.400543
   2.406099,    4.417638
   2.403574,    6.131691
   2.391126,    2.094743
   2.378491,  171.564063
   2.378445,  170.587965
   2.406821,   -0.181226
   2.482520,    0.057063
   2.627512,    0.140336
   2.866844,    0.183817
   3.228649,    0.211509
   3.744155,    0.222836
