alpha_b, CD
  -4.000000,    0.008185
  -3.172414,    0.007957
  -2.344828,    0.007765
  -1.517241,    0.007619
  -0.689655,    0.007529
   0.137931,    0.007505
   0.965517,    0.007557
   1.793103,    0.007695
   2.620690,    0.007926
   3.448276,    0.008262
   4.275862,    0.008711
   5.103448,    0.009282
   5.931034,    0.009984
   6.758621,    0.010827
   7.586207,    0.011819
   8.413793,    0.012969
   9.241379,    0.014286
  10.068966,    0.015780
  10.896552,    0.017459
  11.724138,    0.019331
  12.551724,    0.021407
  13.379310,    0.023696
  14.206897,    0.026205
  15.034483,    0.028945
  15.862069,    0.031924
  16.689655,    0.035152
  17.517241,    0.038638
  18.344828,    0.042391
  19.172414,    0.046421
  20.000000,    0.050737
