alpha, CL
  -4.000000,   -0.039005
  -3.172414,    0.038097
  -2.344828,    0.115200
  -1.517241,    0.192303
  -0.689655,    0.269405
   0.137931,    0.346508
   0.965517,    0.423610
   1.793103,    0.500713
   2.620690,    0.577815
   3.448276,    0.654918
   4.275862,    0.732020
   5.103448,    0.809123
   5.931034,    0.886225
   6.758621,    0.963328
   7.586207,    1.040430
   8.413793,    1.117068
   9.241379,    1.184899
  10.068966,    1.232062
  10.896552,    1.252027
  11.724138,    1.243886
  12.551724,    1.212351
  13.379310,    1.167760
  14.206897,    1.126073
  15.034483,    1.108871
  15.862069,    1.143358
  16.689655,    1.262363
  17.517241,    1.504333
  18.344828,    1.913343
  19.172414,    2.539087
  20.000000,    3.436883
