Time,/fdm/jsbsim/aero/function/drag_coeff_basic_Mach,/fdm/jsbsim/aero/forces/drag_basic_Mach,/fdm/jsbsim/aero/function/side_coeff_basic_Mach,/fdm/jsbsim/aero/forces/side_basic_Mach,/fdm/jsbsim/aero/function/lift_coeff_basic_Mach,/fdm/jsbsim/aero/forces/lift_basic_Mach,/fdm/jsbsim/aero/function/roll_coeff_basic_Mach,/fdm/jsbsim/aero/function/pitch_coeff_basic_Mach,/fdm/jsbsim/aero/function/yaw_coeff_basic_Mach,/fdm/jsbsim/aero/function/flap_inner_drag_coeff_basic_Mach,/fdm/jsbsim/aero/forces/flap_inner_drag_basic_Mach,/fdm/jsbsim/aero/function/flap_inner_side_coeff_basic_Mach,/fdm/jsbsim/aero/forces/flap_inner_side_basic_Mach,/fdm/jsbsim/aero/function/flap_inner_lift_coeff_basic_Mach,/fdm/jsbsim/aero/forces/flap_inner_lift_basic_Mach,/fdm/jsbsim/aero/function/flap_inner_roll_coeff_basic_Mach,/fdm/jsbsim/aero/function/flap_inner_pitch_coeff_basic_Mach,/fdm/jsbsim/aero/function/flap_inner_yaw_coeff_basic_Mach,/fdm/jsbsim/aero/function/flap_outer_drag_coeff_basic_Mach,/fdm/jsbsim/aero/forces/flap_outer_drag_basic_Mach,/fdm/jsbsim/aero/function/flap_outer_side_coeff_basic_Mach,/fdm/jsbsim/aero/forces/flap_outer_side_basic_Mach,/fdm/jsbsim/aero/function/flap_outer_lift_coeff_basic_Mach,/fdm/jsbsim/aero/forces/flap_outer_lift_basic_Mach,/fdm/jsbsim/aero/function/flap_outer_roll_coeff_basic_Mach,/fdm/jsbsim/aero/function/flap_outer_pitch_coeff_basic_Mach,/fdm/jsbsim/aero/function/flap_outer_yaw_coeff_basic_Mach,/fdm/jsbsim/aero/function/aileron_drag_coeff_basic_Mach,/fdm/jsbsim/aero/forces/aileron_drag_basic_Mach,/fdm/jsbsim/aero/function/aileron_side_coeff_basic_Mach,/fdm/jsbsim/aero/forces/aileron_side_basic_Mach,/fdm/jsbsim/aero/function/aileron_lift_coeff_basic_Mach,/fdm/jsbsim/aero/forces/aileron_lift_basic_Mach,/fdm/jsbsim/aero/function/aileron_roll_coeff_basic_Mach,/fdm/jsbsim/aero/function/aileron_pitch_coeff_basic_Mach,/fdm/jsbsim/aero/function/aileron_yaw_coeff_basic_Mach,/fdm/jsbsim/aero/function/elevator_drag_coeff_basic_Mach,/fdm/jsbsim/aero/forces/elevator_drag_basic_Mach,/fdm/jsbsim/aero/function/elevator_side_coeff_basic_Mach,/fdm/jsbsim/aero/forces/elevator_side_basic_Mach,/fdm/jsbsim/aero/function/elevator_lift_coeff_basic_Mach,/fdm/jsbsim/aero/forces/elevator_lift_basic_Mach,/fdm/jsbsim/aero/function/elevator_roll_coeff_basic_Mach,/fdm/jsbsim/aero/function/elevator_pitch_coeff_basic_Mach,/fdm/jsbsim/aero/function/elevator_yaw_coeff_basic_Mach,/fdm/jsbsim/aero/function/rudder_drag_coeff_basic_Mach,/fdm/jsbsim/aero/forces/rudder_drag_basic_Mach,/fdm/jsbsim/aero/function/rudder_side_coeff_basic_Mach,/fdm/jsbsim/aero/forces/rudder_side_basic_Mach,/fdm/jsbsim/aero/function/rudder_lift_coeff_basic_Mach,/fdm/jsbsim/aero/forces/rudder_lift_basic_Mach,/fdm/jsbsim/aero/function/rudder_roll_coeff_basic_Mach,/fdm/jsbsim/aero/function/rudder_pitch_coeff_basic_Mach,/fdm/jsbsim/aero/function/rudder_yaw_coeff_basic_Mach,/fdm/jsbsim/aero/function/p-drag_coeff_basic_Mach,/fdm/jsbsim/aero/forces/p-drag_basic_Mach,/fdm/jsbsim/aero/function/p-side_coeff_basic_Mach,/fdm/jsbsim/aero/forces/p-side_basic_Mach,/fdm/jsbsim/aero/function/p-lift_coeff_basic_Mach,/fdm/jsbsim/aero/forces/p-lift_basic_Mach,/fdm/jsbsim/aero/function/p-roll_coeff_basic_Mach,/fdm/jsbsim/aero/function/p-pitch_coeff_basic_Mach,/fdm/jsbsim/aero/function/p-yaw_coeff_basic_Mach,/fdm/jsbsim/aero/function/q-drag_coeff_basic_Mach,/fdm/jsbsim/aero/forces/q-drag_basic_Mach,/fdm/jsbsim/aero/function/q-side_coeff_basic_Mach,/fdm/jsbsim/aero/forces/q-side_basic_Mach,/fdm/jsbsim/aero/function/q-lift_coeff_basic_Mach,/fdm/jsbsim/aero/forces/q-lift_basic_Mach,/fdm/jsbsim/aero/function/q-roll_coeff_basic_Mach,/fdm/jsbsim/aero/function/q-pitch_coeff_basic_Mach,/fdm/jsbsim/aero/function/q-yaw_coeff_basic_Mach,/fdm/jsbsim/aero/function/r-drag_coeff_basic_Mach,/fdm/jsbsim/aero/forces/r-drag_basic_Mach,/fdm/jsbsim/aero/function/r-side_coeff_basic_Mach,/fdm/jsbsim/aero/forces/r-side_basic_Mach,/fdm/jsbsim/aero/function/r-lift_coeff_basic_Mach,/fdm/jsbsim/aero/forces/r-lift_basic_Mach,/fdm/jsbsim/aero/function/r-roll_coeff_basic_Mach,/fdm/jsbsim/aero/function/r-pitch_coeff_basic_Mach,/fdm/jsbsim/aero/function/r-yaw_coeff_basic_Mach,/fdm/jsbsim/aero/alpha-deg,/fdm/jsbsim/aero/beta-deg,/fdm/jsbsim/aero/Re,/fdm/jsbsim/velocities/mach,/fdm/jsbsim/propulsion/engine/thrust-lbs,/fdm/jsbsim/propulsion/engine[1]/thrust-lbs,/fdm/jsbsim/position/h-sl-meters,/fdm/jsbsim/attitude/phi-deg,/fdm/jsbsim/attitude/theta-deg,/fdm/jsbsim/attitude/psi-deg,/fdm/jsbsim/velocities/vtrue-kts,/fdm/jsbsim/velocities/h-dot-fps,/fdm/jsbsim/velocities/p-rad_sec,/fdm/jsbsim/velocities/q-rad_sec,/fdm/jsbsim/velocities/r-rad_sec
0,0.00360654281897657527,1589.85327087610381,4.08165268722418488e-07,0.179929345111866729,0.386562467796156939,170406.296187565225,-3.21976436822156785e-08,-0.0634160757456778273,1.89049096795696787e-07,0.000473307848883020152,208.645805539482154,2.07091363253067098e-11,9.12909946627251077e-06,-0.000679900697031780811,-299.717042415056483,3.16579085932220239e-12,-0.00119268706411183758,1.54920504236930933e-11,0.000337671833411591095,148.854095397788711,-1.07131525932745258e-11,-4.7226226185900567e-06,-0.000503255383348022033,-221.847419387884742,-1.72162300516313901e-12,0.000482193415883954454,-7.23143222199133094e-12,0.000111759902384407918,49.2665289938428046,0,0,-9.53664448345927125e-05,-42.0398874662820177,0,0.000109241563500203767,0,0.000271072269868546912,119.4953606613809,2.66630364018466967e-11,1.17537258706368695e-05,6.06859023921928903e-05,26.7518466456678148,-2.64427203228961764e-11,-0.000154433772248455575,4.61859023921990756e-13,0.000246384571612777502,108.612412699189463,0,0,-0.00223436556898959577,-984.963602677838708,0,0.00863483532790172877,0,1.72830041829692654e-05,0,0.217755958139165262,0,-1.73791110767474588e-06,-0,-0.586860390306658042,4.09680748256447306e-06,0.0492402027811201792,0.213494077427214851,-0.0308987443028253608,7.26900038620181228e-07,-1.0520337939911285e-07,16.9700236225410528,-2.45605136706692084,6.992921517149879e-08,-41.5774053539241422,3.92472810165520027e-07,0.213494077427214851,0,7.26900038620181228e-07,0,16.9700236225410528,0,6.992921517149879e-08,-41.5774053539241422,3.92472810165520027e-07,0,-1.04685685515599242e-14,37016472.8239848167,0.674230828706321228,704.978544000000056,704.978544000000056,6000.50000912044652,1.59027734073175838e-15,-4.77083202219527515e-15,360,414.73346528954329,-3.88578058618804537e-14,0,-3.34203328170309895e-05,0
0.1,0.00347732577039935311,1532.74749786800498,-4.08750757225946586e-06,-1.80170551095007214,0.371857851578621834,163908.770475723082,1.37447990696115125e-06,-0.0559518990967079813,-2.03921781715261208e-06,0.000474133992557124932,208.990396278758652,2.28865223670300821e-09,0.00100879992871466886,-0.000653624471155368628,-288.106820832502251,4.26391183781513914e-10,-0.00116335898813856573,-6.08039055720921022e-10,0.000338125603518305419,149.040155273767198,1.0051189940292226e-09,0.000443039773918268173,-0.000489389493881121776,-215.71476811706151,-5.72191729161839309e-10,0.000473772285901694697,-1.06579171812177693e-09,0.000111854082041211922,49.3034232899325531,6.02004599924985583e-10,0.000265353638159153903,-9.26800811788115573e-05,-40.8518418775335732,-3.35401186259622629e-10,0.000106700003096154834,-3.07001935684610927e-10,0.000270863476641399132,119.392125874434157,1.03988340992335884e-09,0.000458363351573881541,6.37318190322866163e-05,28.0919282823177099,2.19402804912089232e-10,-0.000164111455958333523,-6.08274842856551056e-10,0.000248713749844041367,109.628893848229424,3.74940598614227735e-08,0.0165267594214817959,-0.00223249516697836357,-984.046824233991288,-3.37375594178887511e-09,0.00862922565821362501,1.95777169813078001e-08,1.58762268605684423e-05,-5.46118252777735787e-07,0.219839704637908417,-0.0075621541845194689,-9.47150636345551417e-06,3.25805529979579162e-07,-0.5868513234654269,-3.41425919118191425e-06,0.050376570190208067,0.195366286729935834,-9.64295123254395747,-2.12237268064637918e-05,0.00104756744878135833,16.9666127174819046,-837.443459435258546,9.4411095235173881e-06,-41.5654476688445769,-1.11555642864101865e-05,0.195366286729935834,0.0130836157721939406,-2.12237268064637918e-05,-1.42134598265482507e-06,16.9666127174819046,1.1362484565108848,9.4411095235173881e-06,-41.5654476688445769,-1.11555642864101865e-05,-0.119461075095955993,0.000412584327066076769,37014716.0683594719,0.674200009119451882,704.978544000000056,704.978544000000056,6000.51701225569559,-1.22740084985577676e-06,-0.0306384379615699982,2.94520141445625179e-06,414.714415722239551,1.0851229489945371,-9.81879499742277138e-07,-0.011398216106779234,1.91159971114329675e-06
0.2,0.00279522638867247316,1232.20488547563264,-4.09599575415116901e-06,-1.80561617463461421,0.294378396186849745,129769.273583664821,1.33531783515786656e-06,-0.0165765662081641223,-2.04683002163492699e-06,0.000478620606327224887,210.987793974644006,2.17373760384290043e-09,0.000958237266953322858,-0.000515124538498054792,-227.07962959205534,3.73212386285261574e-10,-0.00100915825849844359,-7.04333871464726823e-10,0.000340612759407849549,150.150523728068151,1.0789616633055462e-09,0.000475632971323451225,-0.000416379946562244526,-183.550572664616567,-6.17733813699166186e-10,0.000429513175508095923,-1.04272952025151554e-09,0.000112381823780595327,49.5406858143170936,6.15434791695017411e-10,0.000271298868703953285,-7.8532586841077197e-05,-34.6191054745202536,-3.41498411602581693e-10,9.33196138660210634e-05,-3.01435028568465912e-10,0.000264001566054474814,116.378415996579534,7.8806729433705084e-09,0.00347399543056997129,-0.010580982734577641,-4664.35873370240643,-4.17005726341333615e-09,0.0415642059723976762,3.31858132972077884e-09,0.000261103123832083148,115.100711020276691,3.72243244037211089e-08,0.0164094023205679888,-0.00222324678581592656,-980.062138151693944,-3.34919939573227515e-09,0.00860202067970449943,1.93830762041951888e-08,1.59192367283035599e-05,-5.96079441765415141e-07,0.230891339569278736,-0.00864548867184231767,-9.44244699485750864e-06,3.53562713442605094e-07,-0.58696287594269847,-3.05145353280224346e-06,0.0563843543602436173,0.0997614378158838133,-2.31379759254046802e-05,-2.17675149173489667e-05,5.04860642689450592e-09,16.9532272791585257,-0.00393201394477725279,9.42947676237118368e-06,-41.5136440748874946,-1.10839482441684841e-05,0.0997614378158838133,0.00654164072291677032,-2.17675149173489667e-05,-1.42735775603823925e-06,16.9532272791585257,1.11167124674850393,9.42947676237118368e-06,-41.5136440748874946,-1.10839482441684841e-05,-0.749703508638732363,0.000413243836394338432,37016472.2142859846,0.674230820037630907,1117.28394549569543,1117.28394549569543,6000.50004430180252,-1.50056115608133697e-06,-0.749516599755969404,2.87198874603506148e-06,414.733459767472084,0.00228352289762057126,-1.06875938170661582e-06,-5.355727158920368e-08,1.87163874025338009e-06
0.3,0.00279545540681682596,1232.30574699596468,-8.32869780278665205e-06,-3.67149557898105217,0.294378587967884409,129769.348085741614,2.62043683881337646e-06,-0.0165784780704210655,-4.14775980175312377e-06,0.000478620411353596769,210.987691702161868,4.19748494749841164e-09,0.00185035497655151285,-0.000515131678296919878,-227.082759423379542,7.21515023244734809e-10,-0.00100912549535771431,-1.37901894241215802e-09,0.000340612296160428603,150.150307900615843,2.10178399158192413e-09,0.000926518264413951978,-0.000416377756365681297,-183.549592971323762,-1.19644918706171948e-09,0.000429506012684998252,-2.01601148682954014e-09,0.000112381667372928276,49.5406130331890395,1.19359190201160977e-09,0.000526164773306695343,-7.85325346750616983e-05,-34.6190798001091977,-6.62311815360264123e-10,9.33196648369923087e-05,-5.84611677820335502e-10,0.000263999309388793344,116.377412198903698,1.72190202565899139e-08,0.00759056916740367005,-0.010580972805318712,-4664.3539957769226,-8.0696623995890951e-09,0.041564167310403563,7.42860757286398237e-09,0.000261097024756760834,115.098013492435228,7.21939171138390124e-08,0.0318248607152128438,-0.00222324316032551303,-980.060464122482244,-6.49553289165720182e-09,0.00860200735460883541,3.75920908624675475e-08,1.46046666231543987e-05,-2.3023955540779689e-06,0.230891462589302238,-0.0363995625957910657,-1.67759288667932125e-05,2.64469056604118077e-06,-0.586962516904243614,-9.91466882640237995e-06,0.0563845162015687851,0.0997648677753094903,-0.000120767637262920768,-4.28857459289203028e-05,5.1914169021486091e-08,16.953216663085712,-0.0205222536356024082,1.82198282532430387e-05,-41.5136199738177538,-2.18589799520918374e-05,0.0997648677753094903,0.026735406957406397,-4.28857459289203028e-05,-1.14927017461088601e-05,16.953216663085712,4.54319398032474098,1.82198282532430387e-05,-41.5136199738177538,-2.18589799520918374e-05,-0.749705369487724593,0.000801456934756855123,37016470.6480438486,0.674230798824240529,1117.28394549569543,1117.28394549569543,6000.50014982656558,-1.58454632266706531e-05,-0.749325909405407109,2.67693419677070954e-05,414.733446148950236,0.00463598198716219656,-4.49972887546560397e-06,-2.79530201120366403e-07,7.6490451527589943e-06
0.4,0.00279564537328096064,1232.38933419126124,-1.20642856136078529e-05,-5.31823422847028571,0.294377377141021246,129768.798032501058,3.75462141488315804e-06,-0.0165794669599018674,-6.00194380366382888e-06,0.000478620308264096292,210.987619770873806,5.98354472344700568e-09,0.00263769388217444762,-0.000515135512778715004,-227.084421249959746,1.02890800280505311e-09,-0.00100909382433039103,-1.97446994832224289e-09,0.000340611923902621179,150.15012495069044,3.00448367360794838e-09,0.00132445040043141981,-0.000416374519878108832,-183.548143205507643,-1.70719909093425039e-09,0.0004294988969945335,-2.87498396628554467e-09,0.000112381536212398858,49.5405489951855955,1.70384738239102758e-09,0.000751097890031767303,-7.85322360905079287e-05,-34.6189438306864403,-9.45447234553243541e-10,9.33194705498867398e-05,-8.34530007859181358e-10,0.000263998624276428446,116.377095574753795,2.54606416086300684e-08,0.0112236778884860812,-0.0105809632826912251,-4664.34921241619304,-1.15112725539361651e-08,0.041564130215530487,1.10559271899447427e-08,0.000261091855882267048,115.095720476121514,1.03056449729513234e-07,0.0454298212069782492,-0.00222323974764790551,-980.058836695662762,-9.27234017223343893e-09,0.00860199492250181101,5.36625155729458536e-08,1.34444890353698255e-05,-4.49590299717514967e-06,0.23089176199793765,-0.0772113363370394851,-2.32481227232716746e-05,7.77428612982447161e-06,-0.58696218906687081,-1.59718108646033472e-05,0.056384764300446262,0.0997661977771360925,-0.000308294104602884215,-6.15237498925525004e-05,1.90118595351371842e-07,16.9532066826579744,-0.0523882215703270274,2.59777857126264261e-05,-41.5135968694327886,-3.13685211467563054e-05,0.0997661977771360925,0.0585685208573487812,-6.15237498925525004e-05,-3.61179949631203635e-05,16.9532066826579744,9.95251158523906021,2.59777857126264261e-05,-41.5135968694327886,-3.13685211467563054e-05,-0.749718184566275703,0.00114407596182840169,37016468.0969014019,0.674230764753499412,1117.28394549569543,1117.28394549569543,6000.50032866285164,-5.49119671541621124e-05,-0.749137047953919333,9.26715304820732613e-05,414.733424225782073,0.00709993582030676862,-9.54488542095110527e-06,-7.13571718644662312e-07,1.67563307174744226e-05
0.5,0.00279578269197467387,1232.44965180359532,-1.51200065794259071e-05,-6.66527012187767554,0.294374334314540298,129767.433952322666,4.6823826247930794e-06,-0.0165792365723510735,-7.518671727282838e-06,0.000478620328906832239,210.987591918567887,7.44453267464282275e-09,0.00328173277881754245,-0.000515134980872246698,-227.084147001223158,1.28035007783996359e-09,-0.00100906382133675505,-2.4615613754874794e-09,0.000340611675479377993,150.149989142504268,3.74290270700343757e-09,0.00164996340782229455,-0.000416369934582814334,-183.546089748352955,-2.12499903834126864e-09,0.000429491896655095277,-3.57762289116824222e-09,0.000112381439700234224,49.5404977737787249,2.12123915930252005e-09,0.000935094301420127927,-7.85316163984026811e-05,-34.6186645920696847,-1.17705340153788802e-09,9.33189559976913864e-05,-1.03896315892769383e-09,0.000264000009432761612,116.377685803521786,3.22023667504508462e-08,0.0141955938860230772,-0.0105809544139366784,-4664.34448594265268,-1.43265153670700945e-08,0.0415640956473144196,1.40230839679154338e-08,0.0002610879472913818,115.093977315563777,1.28302044647728272e-07,0.0565586913123412652,-0.00222323664984267269,-980.057299460674585,-1.15437723862905841e-08,0.00860198379449923778,6.68081392012209614e-08,1.24954633122684467e-05,-6.77537357823510166e-06,0.230892292025477369,-0.125195960782950949,-2.85423972482976371e-05,1.54764492794544149e-05,-0.586961907407942518,-2.09265374251577235e-05,0.0563851241695683819,0.099764760610720371,-0.000576606933435061791,-7.6769744283854122e-05,4.43703433568409078e-07,16.9531976909465669,-0.0979838098408131464,3.23238121257263369e-05,-41.5135754412268696,-3.91473400140666014e-05,0.099764760610720371,0.0994865310596904778,-7.6769744283854122e-05,-7.65556445220342147e-05,16.9531976909465669,16.9059176638789097,3.23238121257263369e-05,-41.5135754412268696,-3.91473400140666014e-05,-0.749745294259767325,0.00142433929498520201,37016464.5295016319,0.674230717520921119,1117.28394549569543,1117.28394549569543,6000.50058466103383,-0.000126281386183358681,-0.748951176628393056,0.000217837500322841095,414.733393789901925,0.00970201381100821436,-1.54767231855902957e-05,-1.33462289212539532e-06,2.84633003543452312e-05
0.6,0.00279585813886862235,1232.48263219974001,-1.73627907149410104e-05,-7.65394270373932528,0.294369223597776286,129765.151705871074,5.36331676700025444e-06,-0.0165776101593782879,-8.63189351254939115e-06,0.000478620492065382386,210.987616175756301,8.51682106186100679e-09,0.00375442297817882428,-0.000515129447196775074,-227.081656318082509,1.46488928693835726e-09,-0.00100903605853107804,-2.81908531809786e-09,0.000340611572369728974,150.149909766813863,4.28488747923732791e-09,0.00188888317531989342,-0.000416363852554115627,-183.543367173978908,-2.43165657973580091e-09,0.000429485105211819141,-4.09332884094366312e-09,0.000112381384167960783,49.5404621014238842,2.42759123146149433e-09,0.00107014157451758448,-7.85306352339840483e-05,-34.6182242496268415,-1.34704459462091991e-09,9.33180798254370489e-05,-1.18900825652766817e-09,0.000264003754692205281,116.379310512990685,3.71506282475917937e-08,0.0163769053421982322,-0.0105809464093123695,-4664.33990352272576,-1.63927918510145442e-08,0.0415640644226178343,1.62008644698458045e-08,0.000261085527079957789,115.092884424735658,1.4683129683211822e-07,0.0647268259762925208,-0.0022232339505588645,-980.055888132231644,-1.3210912304125082e-08,0.00860197429757403841,7.64564887521738763e-08,1.17989182670079283e-05,-8.93607658306981008e-06,0.230893081230620828,-0.174870120267475199,-3.24281995702465134e-05,2.45599527221981063e-05,-0.586961682768731063,-2.45630701804774862e-05,0.0563856084394503757,0.0997601651574706871,-0.000898360208718514976,-8.79598193250687713e-05,7.92095738043133674e-07,16.9531899596278848,-0.152666861031508783,3.69815504989916849e-05,-41.5135562385418808,-4.48566817816393966e-05,0.0997601651574706871,0.146571038675175291,-8.79598193250687713e-05,-0.000129233567925690445,16.9531899596278848,24.9082051670413769,3.69815504989916849e-05,-41.5135562385418808,-4.48566817816393966e-05,-0.749788506607538152,0.00163004207447452741,37016459.918325834,0.674230656930893235,1117.28394549569543,1117.28394549569543,6000.50092223013689,-0.000233422710192353252,-0.748769219947453935,0.000415050151819459272,414.733354697180459,0.0124530135337685977,-2.16173711479359049e-05,-2.07945381669353271e-06,4.19362116695739986e-05
0.7,0.0027958672307607014,1232.48629809431077,-1.8713920442133965e-05,-8.24955143606075048,0.294362015989082515,129761.938404797751,5.7735239417852997e-06,-0.0165745393254998138,-9.30253716124070463e-06,0.000478620802516902888,210.987694478069756,9.16277349280257707e-09,0.00403917348369518987,-0.000515118733513532856,-227.076870447237297,1.57604817074870006e-09,-0.001009011094319473,-3.03449417746363174e-09,0.000340611623778196409,150.149890760035191,4.61141595546966163e-09,0.00203282434780834367,-0.00041635629046640662,-183.539982685659197,-2.61640899414750253e-09,0.00042947864117545741,-4.40400126909417701e-09,0.000112381372623351601,49.5404432640481431,2.61215131476824187e-09,0.00115149985256093488,-7.85292889069811087e-05,-34.6176211488447905,-1.4494544846507778e-09,9.33168366651097511e-05,-1.27939894012219958e-09,0.000264009925969973765,116.381998665349371,4.01317555878204138e-08,0.0176910542590396347,-0.0105809394369378862,-4664.33553550520719,-1.76375792448048471e-08,0.0415640371956667795,1.75128325929574395e-08,0.000261084712542424772,115.092493416749036,1.57993860693477309e-07,0.0696475377461865802,-0.00222323171276469795,-980.054629677714615,-1.42152461157774256e-08,0.00860196666509062402,8.22689229034579961e-08,1.13793015693737318e-05,-1.09097031631030175e-05,0.230894130776382794,-0.221365644764405289,-3.47691453351322739e-05,3.33343002229579948e-05,-0.586961521481730086,-2.67537710205827941e-05,0.0563862160210743327,0.0997523164147867125,-0.0012346022363614712,-9.47012283869186301e-05,1.17208654951432135e-06,16.953183670766613,-0.209824084549004281,3.9787522533481535e-05,-41.5135396657672828,-4.82961582239389012e-05,0.0997523164147867125,0.196728561693178289,-9.47012283869186301e-05,-0.000186766955602988064,16.953183670766613,33.4345663292868167,3.9787522533481535e-05,-41.5135396657672828,-4.82961582239389012e-05,-0.749847992340672231,0.0017539645074497452,37016454.2426874563,0.674230582920036681,1117.28394549569543,1117.28394549569543,6000.50134588818855,-0.000376040939451493497,-0.748591663523171746,0.000692160893614687713,414.733306884220781,0.0153490866532557391,-2.73650084940414413e-05,-2.85798583359958176e-06,5.62914826198690095e-05
0.8,0.00279581023988642293,1232.46076909888438,-1.91503026058975283e-05,-8.44191652974976137,0.294352883271159937,129757.869732097926,5.90599453398594491e-06,-0.0165701014688720838,-9.51914008895589933e-06,0.000478621251339962064,210.987822820723153,9.37135388917206052e-09,0.00413111943613741778,-0.000515103109863781637,-227.069908354629035,1.61192879926605843e-09,-0.00100898945122310799,-3.10410279804933164e-09,0.000340611826700121711,150.14993074639483,4.71690458765058175e-09,0.00207932561835743766,-0.00041634742313144586,-183.536013283135361,-2.67609691108244646e-09,0.00042947264235299558,-4.50433116001032621e-09,0.000112381404747568923,49.540441104196141,2.67176451014511055e-09,0.00117777841144122699,-7.85276092612060905e-05,-34.6168693156708756,-1.48253251052509183e-09,9.33152560876098549e-05,-1.30859050501820335e-09,0.000264018370482135888,116.385682868757982,4.10947783460423739e-08,0.0181155721528400565,-0.0105809336176485545,-4664.3314335672294,-1.80396031394208428e-08,0.0415640144379828269,1.79365647625785119e-08,0.000261085509329792085,115.092806742935963,1.61598961514637691e-07,0.071236730430603995,-0.00222322997696355841,-980.053541617872384,-1.45396091816931639e-08,0.00860196103079637064,8.41461057693956559e-08,1.12437845846017557e-05,-1.26906676270293614e-05,0.230895415351220296,-0.260607711823306443,-3.5525222301096025e-05,4.00967116727725154e-05,-0.58696142528278461,-2.7461206220417516e-05,0.0563869326338860624,0.0997414089179167462,-0.00154121969086027993,-9.68787312475008006e-05,1.49698515234617067e-06,16.9531789128814445,-0.261963144963321515,4.0693770535327653e-05,-41.5135259717608989,-4.94069864639046696e-05,0.0997414089179167462,0.246878681117182947,-9.68787312475008006e-05,-0.000239793017345203235,16.9531789128814445,41.9622952609403157,4.0693770535327653e-05,-41.5135259717608989,-4.94069864639046696e-05,-0.749922335605597845,0.00179398853610486454,37016447.4909356385,0.674230495566962129,1117.28394549569543,1117.28394549569543,6000.50185983415304,-0.000550570206147492965,-0.748418439069165498,0.00105194258998307123,414.733250376726403,0.0183737630091229676,-3.22159021428966975e-05,-3.56816670308381985e-06,7.06490675066221802e-05
0.9,0.00279569188786637753,1232.40812684966227,-1.8702474843511704e-05,-8.24450007863199907,0.294342175413082274,129753.099985040055,5.77000365313918979e-06,-0.0165644874459405199,-9.29685959352037061e-06,0.000478621817294757029,210.987991874806198,9.15717254849887245e-09,0.00403670158242918579,-0.000515083250965144772,-227.061067512003689,1.57504838578520657e-09,-0.00100897158653272083,-3.03277126939510736e-09,0.000340612166851839322,150.150023453565694,4.60872700012241026e-09,0.00203163754705353852,-0.000416337563316999785,-183.531596872874132,-2.61489200773479062e-09,0.000429467256357840121,-4.40134245169502044e-09,0.000112381477118721505,49.5404541214240837,2.61060106330223345e-09,0.00115081564615171104,-7.85256595885488161e-05,-34.6159966565611583,-1.44859280748620511e-09,9.33133986904600738e-05,-1.27862648552680705e-09,0.000264028739295884846,116.390209322548799,4.01070307734174058e-08,0.0176801423946226985,-0.01058092902073768,-4664.32762901081696,-1.76270005403870386e-08,0.0415639964216626828,1.75017140439122013e-08,0.000261087817912532098,115.093780546187475,1.57898922360390269e-07,0.0696056371527625645,-0.00222322876014997622,-980.052631603045484,-1.42067038909002135e-08,0.00860195742694227529,8.22194288609360872e-08,1.13828816541136757e-05,-1.42693412563420985e-05,0.230896886313424088,-0.289447484911905417,-3.47493364433744712e-05,4.35610379874905727e-05,-0.586961391495045337,-2.67349122462345479e-05,0.0563877324724240542,0.0997278973592720941,-0.00177476353702153938,-9.46446502858749091e-05,1.68430177261637612e-06,16.9531756815518726,-0.301699713250207779,3.97637168922820814e-05,-41.5135152449174285,-4.82669132284716123e-05,0.0997278973592720941,0.294130342060930527,-9.46446502858749091e-05,-0.000279138175976326619,16.9531756815518726,50.0004862658451685,3.97637168922820814e-05,-41.5135152449174285,-4.82669132284716123e-05,-0.750008716095391104,0.0017529149875436874,37016439.6615613326,0.67423039508966931,1117.28394549569543,1117.28394549569543,6000.50246760841947,-0.000750783015967873492,-0.74824889140600892,0.00149224101306043798,414.733185289673315,0.0215005799035647982,-3.57808081368166342e-05,-4.10941515429273767e-06,8.41824588756828415e-05
