Time,/fdm/jsbsim/aero/alpha-deg,/fdm/jsbsim/aero/beta-deg,/fdm/jsbsim/aero/Re,/fdm/jsbsim/velocities/mach,/fdm/jsbsim/propulsion/engine/thrust-lbs,/fdm/jsbsim/propulsion/engine[1]/thrust-lbs,/fdm/jsbsim/position/h-sl-meters,/fdm/jsbsim/attitude/phi-deg,/fdm/jsbsim/attitude/theta-deg,/fdm/jsbsim/attitude/psi-deg,/fdm/jsbsim/velocities/vtrue-kts,/fdm/jsbsim/velocities/h-dot-fps,/fdm/jsbsim/velocities/p-rad_sec,/fdm/jsbsim/velocities/q-rad_sec,/fdm/jsbsim/velocities/r-rad_sec
0,0,-4.8853319907279629e-15,26440337.7314177305,0.481593449075943814,704.978544000000056,704.978544000000056,6000.50000912044652,1.59027734073175838e-15,-4.77083202219527515e-15,360,296.238189492530978,-2.77555756156289009e-14,0,-2.38716662978792792e-05,0
0.1,0.128419589629908154,0.000416179491397251152,26440678.6538633555,0.481598692211512303,704.978544000000056,704.978544000000056,6000.48048829843992,-7.15792179950708929e-07,-0.0172317457472121911,1.51293775396084008e-06,296.24148993631178,-1.27106047303824599,-5.48624260071514614e-07,-0.00663922215249084045,9.84264768183305697e-07
0.2,2.4335930631231002,0.000415258681902446023,26440338.0564140454,0.48159345589613145,1257.43663467564488,1257.43663467564488,6000.50002734585178,-3.93417943570526918e-07,2.43372634512691599,1.4826172365614946e-06,296.238193617625996,0.00116310491294768781,-4.50508886550178827e-07,-1.86484039760624046e-08,9.63739898478291844e-07
0.3,2.43359363832450226,0.000816815421924178896,26440337.795430541,0.481593453806598182,1257.43663467564488,1257.43663467564488,6000.50008115229593,-6.52968709824656867e-06,2.43386284170345313,1.38537223363293897e-05,296.23819212480953,0.00234924343754627785,-2.255172904383124e-06,-9.84885263847057983e-08,3.97604756004408581e-06
0.4,2.43358911718967486,0.00119315644801301678,26440336.9107905142,0.481593442175114295,1257.43663467564488,1257.43663467564488,6000.50017166616635,-2.49662130809713223e-05,2.43399867900647671,4.84106524192942338e-05,296.238184620976028,0.00357410549333891936,-5.13355681029097625e-06,-2.58950650910454117e-07,8.85268719024923974e-06
0.5,2.43357758616320252,0.00153403965924511819,26440335.3643977717,0.481593420375865777,1257.43663467564488,1257.43663467564488,6000.50030026592049,-6.07002248455023699e-05,2.43413337224779402,0.000115266057495209064,296.23817071587132,0.00485016232942570014,-8.80495955969369195e-06,-5.06726187791812299e-07,1.53613588539646517e-05
0.6,2.43355751393787578,0.00183075996147586263,26440333.1212162375,0.481593387855584643,1257.43663467564488,1257.43663467564488,6000.5004686615739,-0.000117193959701365497,2.43426642766756185,0.000223095557144980004,296.238150062556713,0.00618647109833148079,-1.29946014822857493e-05,-8.37462111274406928e-07,2.32309012017864949e-05
0.7,2.43352781614189473,0.00207634363077322838,26440330.1506665461,0.481593344152467573,1257.43663467564488,1257.43663467564488,6000.50067877888068,-0.00019643262529778403,2.43439740105571012,0.000378940330755402587,296.238122369554048,0.00758862027113238469,-1.74396332608354801e-05,-1.23764689141801242e-06,3.2161262399871355e-05
0.8,2.43348789456260794,0.00226568136890128351,26440326.4276393428,0.48159328891086528,1257.43663467564488,1257.43663467564488,6000.50093267304055,-0.00029901339769142709,2.43452594507261288,0.000588068143591972373,296.238087410174785,0.00905879971137935058,-2.18947549742447056e-05,-1.6866305075840073e-06,4.1833895685551109e-05
0.9,2.43343765182842953,0.00239559880147807757,26440321.9333518296,0.481593221890924794,1257.43663467564488,1257.43663467564488,6000.50123240265566,-0.000424262672023563003,2.43465184481990216,0.00085389437698996009,296.23804502891528,0.0105959826431991644,-2.6137263522190984e-05,-2.15869343724509956e-06,5.19222451319724008e-05
