alpha_b, CM
  -4.000000,   -0.119632
  -3.517241,   -0.107596
  -3.034483,   -0.095559
  -2.551724,   -0.083522
  -2.068966,   -0.071485
  -1.586207,   -0.059448
  -1.103448,   -0.047412
  -0.620690,   -0.035375
  -0.137931,   -0.023338
   0.344828,   -0.011301
   0.827586,    0.000736
   1.310345,    0.012772
   1.793103,    0.024809
   2.275862,    0.036846
   2.758621,    0.048883
   3.241379,    0.060920
   3.724138,    0.072956
   4.206897,    0.084993
   4.689655,    0.097030
   5.172414,    0.109067
   5.655172,    0.121104
   6.137931,    0.133140
   6.620690,    0.145177
   7.103448,    0.157214
   7.586207,    0.169251
   8.068966,    0.181288
