eta, Gamma
   0.000000,   50.285015
   0.020408,   50.313182
   0.040816,   50.376608
   0.061224,   50.448233
   0.081633,   50.517304
   0.102041,   50.577675
   0.122449,   50.625414
   0.142857,   50.657844
   0.163265,   50.673053
   0.183673,   50.669615
   0.204082,   50.646417
   0.224490,   50.602548
   0.244898,   50.537223
   0.265306,   50.449726
   0.285714,   50.339371
   0.306122,   50.205472
   0.326531,   50.047318
   0.346939,   49.864149
   0.367347,   49.655143
   0.387755,   49.419395
   0.408163,   49.155901
   0.428571,   48.863543
   0.448980,   48.541070
   0.469388,   48.187081
   0.489796,   47.800001
   0.510204,   47.377699
   0.530612,   46.918121
   0.551020,   46.419350
   0.571429,   45.878841
   0.591837,   45.293717
   0.612245,   44.660725
   0.632653,   43.976176
   0.653061,   43.235878
   0.673469,   42.435057
   0.693878,   41.568248
   0.714286,   40.629177
   0.734694,   39.610587
   0.755102,   38.504027
   0.775510,   37.299543
   0.795918,   35.985250
   0.816327,   34.546684
   0.836735,   32.965809
   0.857143,   31.219435
   0.877551,   29.276569
   0.897959,   27.093707
   0.918367,   24.605747
   0.938776,   21.706148
   0.959184,   18.194660
   0.979592,   13.585309
   1.000000,    0.000000
