eta, Cd
   0.000000,    0.015412
   0.020408,    0.015450
   0.040816,    0.015492
   0.061224,    0.015523
   0.081633,    0.015547
   0.102041,    0.015568
   0.122449,    0.015584
   0.142857,    0.015599
   0.163265,    0.015611
   0.183673,    0.015621
   0.204082,    0.015636
   0.224490,    0.015649
   0.244898,    0.015661
   0.265306,    0.015672
   0.285714,    0.015681
   0.306122,    0.015677
   0.326531,    0.015645
   0.346939,    0.015602
   0.367347,    0.015557
   0.387755,    0.015510
   0.408163,    0.015462
   0.428571,    0.015412
   0.448980,    0.015360
   0.469388,    0.015306
   0.489796,    0.015249
   0.510204,    0.015189
   0.530612,    0.015125
   0.551020,    0.015059
   0.571429,    0.014988
   0.591837,    0.014914
   0.612245,    0.014835
   0.632653,    0.014751
   0.653061,    0.014667
   0.673469,    0.014583
   0.693878,    0.014493
   0.714286,    0.014398
   0.734694,    0.014296
   0.755102,    0.014187
   0.775510,    0.014069
   0.795918,    0.013941
   0.816327,    0.013800
   0.836735,    0.013645
   0.857143,    0.013474
   0.877551,    0.013337
   0.897959,    0.013204
   0.918367,    0.013084
   0.938776,    0.013072
   0.959184,    0.013583
   0.979592,    0.018529
   1.000000,   -0.021451
