eta, Cm
   0.000000,    0.069569
   0.020408,    0.067233
   0.040816,    0.065061
   0.061224,    0.062792
   0.081633,    0.060424
   0.102041,    0.057958
   0.122449,    0.055394
   0.142857,    0.052732
   0.163265,    0.049973
   0.183673,    0.047118
   0.204082,    0.044166
   0.224490,    0.041119
   0.244898,    0.037978
   0.265306,    0.034744
   0.285714,    0.031418
   0.306122,    0.028001
   0.326531,    0.024496
   0.346939,    0.020903
   0.367347,    0.017226
   0.387755,    0.013466
   0.408163,    0.009626
   0.428571,    0.005710
   0.448980,    0.001722
   0.469388,   -0.002335
   0.489796,   -0.006455
   0.510204,   -0.010631
   0.530612,   -0.014857
   0.551020,   -0.019124
   0.571429,   -0.023422
   0.591837,   -0.027740
   0.612245,   -0.032065
   0.632653,   -0.036379
   0.653061,   -0.040665
   0.673469,   -0.044900
   0.693878,   -0.049057
   0.714286,   -0.053103
   0.734694,   -0.057001
   0.755102,   -0.060703
   0.775510,   -0.064152
   0.795918,   -0.067279
   0.816327,   -0.069994
   0.836735,   -0.072188
   0.857143,   -0.073718
   0.877551,   -0.074395
   0.897959,   -0.073961
   0.918367,   -0.072044
   0.938776,   -0.068071
   0.959184,   -0.061033
   0.979592,   -0.048672
   1.000000,    0.000000
