eta, Cm
   0.000000,    0.013914
   0.020408,    0.013447
   0.040816,    0.013012
   0.061224,    0.012558
   0.081633,    0.012085
   0.102041,    0.011592
   0.122449,    0.011079
   0.142857,    0.010546
   0.163265,    0.009995
   0.183673,    0.009424
   0.204082,    0.008833
   0.224490,    0.008224
   0.244898,    0.007596
   0.265306,    0.006949
   0.285714,    0.006284
   0.306122,    0.005600
   0.326531,    0.004899
   0.346939,    0.004181
   0.367347,    0.003445
   0.387755,    0.002693
   0.408163,    0.001925
   0.428571,    0.001142
   0.448980,    0.000344
   0.469388,   -0.000467
   0.489796,   -0.001291
   0.510204,   -0.002126
   0.530612,   -0.002971
   0.551020,   -0.003825
   0.571429,   -0.004684
   0.591837,   -0.005548
   0.612245,   -0.006413
   0.632653,   -0.007276
   0.653061,   -0.008133
   0.673469,   -0.008980
   0.693878,   -0.009811
   0.714286,   -0.010621
   0.734694,   -0.011400
   0.755102,   -0.012141
   0.775510,   -0.012830
   0.795918,   -0.013456
   0.816327,   -0.013999
   0.836735,   -0.014438
   0.857143,   -0.014744
   0.877551,   -0.014879
   0.897959,   -0.014792
   0.918367,   -0.014409
   0.938776,   -0.013614
   0.959184,   -0.012207
   0.979592,   -0.009734
   1.000000,    0.000000
