alpha body, CLh_e
 -10.000000,   -0.422525
  -9.000000,   -0.394502
  -8.000000,   -0.367475
  -7.000000,   -0.341388
  -6.000000,   -0.316315
  -5.000000,   -0.292242
  -4.000000,   -0.269142
  -3.000000,   -0.246966
  -2.000000,   -0.223975
  -1.000000,   -0.203415
   0.000000,   -0.183839
   1.000000,   -0.165242
   2.000000,   -0.147653
   3.000000,   -0.131042
   4.000000,   -0.115365
   5.000000,   -0.100633
   6.000000,   -0.086878
   7.000000,   -0.074081
   8.000000,   -0.062252
   9.000000,   -0.051333
  10.000000,   -0.041079
  11.000000,   -0.031089
