alpha body, CLh_e
 -10.000000,   -0.440957
  -9.090909,   -0.385459
  -8.181818,   -0.330749
  -7.272727,   -0.276885
  -6.363636,   -0.223910
  -5.454545,   -0.171812
  -4.545455,   -0.120516
  -3.636364,   -0.070096
  -2.727273,   -0.020596
  -1.818182,    0.029959
  -0.909091,    0.077962
  -0.000000,    0.125059
   0.909091,    0.171245
   1.818182,    0.216480
   2.727273,    0.260752
   3.636364,    0.304044
   4.545455,    0.346383
   5.454545,    0.387793
   6.363636,    0.428234
   7.272727,    0.467668
   8.181818,    0.506108
   9.090909,    0.543159
  10.000000,    0.577781
  10.909091,    0.609131
  11.818182,    0.636714
  12.727273,    0.660356
  13.636364,    0.680225
  14.545455,    0.696724
  15.454545,    0.710422
  16.363636,    0.722025
  17.272727,    0.732440
  18.181818,    0.742681
  19.090909,    0.753126
  20.000000,    0.762385
