alpha body, CLh_e
 -10.000000,   -0.428773
  -9.090909,   -0.400664
  -8.181818,   -0.373198
  -7.272727,   -0.346416
  -6.363636,   -0.320349
  -5.454545,   -0.294976
  -4.545455,   -0.270232
  -3.636364,   -0.246170
  -2.727273,   -0.222822
  -1.818182,   -0.198308
  -0.909091,   -0.176040
  -0.000000,   -0.154456
   0.909091,   -0.133555
   1.818182,   -0.113363
   2.727273,   -0.093885
   3.636364,   -0.075127
   4.545455,   -0.057065
   5.454545,   -0.039677
   6.363636,   -0.022988
   7.272727,   -0.007020
   8.181818,    0.008242
   9.090909,    0.022802
  10.000000,    0.036708
  10.909091,    0.050053
  11.818182,    0.062987
