alpha body, CLh_e
 -10.000000,   -0.424887
  -9.000000,   -0.400803
  -8.000000,   -0.377546
  -7.000000,   -0.355068
  -6.000000,   -0.333434
  -5.000000,   -0.312633
  -4.000000,   -0.292642
  -3.000000,   -0.273422
  -2.000000,   -0.253236
  -1.000000,   -0.235309
   0.000000,   -0.218204
   1.000000,   -0.201918
   2.000000,   -0.186476
   3.000000,   -0.171853
   4.000000,   -0.158012
   5.000000,   -0.144965
   6.000000,   -0.132736
   7.000000,   -0.121310
   8.000000,   -0.110694
   9.000000,   -0.100809
