alpha body, CLh_e
 -10.000000,   -0.422564
  -9.000000,   -0.394471
  -8.000000,   -0.367374
  -7.000000,   -0.341217
  -6.000000,   -0.316074
  -5.000000,   -0.291932
  -4.000000,   -0.268762
  -3.000000,   -0.246517
  -2.000000,   -0.223456
  -1.000000,   -0.202829
   0.000000,   -0.183184
   1.000000,   -0.164518
   2.000000,   -0.146862
   3.000000,   -0.130184
   4.000000,   -0.114439
   5.000000,   -0.099641
   6.000000,   -0.085820
   7.000000,   -0.072958
   8.000000,   -0.061063
   9.000000,   -0.050081
  10.000000,   -0.039767
  11.000000,   -0.029726
