alpha body, CLh_e
 -10.000000,   -0.433881
  -9.090909,   -0.390036
  -8.181818,   -0.346972
  -7.272727,   -0.304742
  -6.363636,   -0.263385
  -5.454545,   -0.222881
  -4.545455,   -0.183154
  -3.636364,   -0.144273
  -2.727273,   -0.106277
  -1.818182,   -0.067233
  -0.909091,   -0.030659
  -0.000000,    0.005056
   0.909091,    0.039908
   1.818182,    0.073864
   2.727273,    0.106916
   3.636364,    0.139050
   4.545455,    0.170295
   5.454545,    0.200677
   6.363636,    0.230159
   7.272727,    0.258711
   8.181818,    0.286348
   9.090909,    0.312855
  10.000000,    0.337688
  10.909091,    0.360433
  11.818182,    0.380899
  12.727273,    0.399100
  13.636364,    0.415264
  14.545455,    0.429741
  15.454545,    0.442939
  16.363636,    0.455298
  17.272727,    0.467346
  18.181818,    0.479621
  19.090909,    0.492005
