alpha body, CLh_e
 -10.000000,   -0.441285
  -9.090909,   -0.385372
  -8.181818,   -0.330245
  -7.272727,   -0.275962
  -6.363636,   -0.222568
  -5.454545,   -0.170048
  -4.545455,   -0.118329
  -3.636364,   -0.067486
  -2.727273,   -0.017561
  -1.818182,    0.033420
  -0.909091,    0.081849
  -0.000000,    0.129373
   0.909091,    0.175985
   1.818182,    0.221646
   2.727273,    0.266344
   3.636364,    0.310063
   4.545455,    0.352827
   5.454545,    0.394662
   6.363636,    0.435527
   7.272727,    0.475384
   8.181818,    0.514246
   9.090909,    0.551712
  10.000000,    0.586720
  10.909091,    0.618415
  11.818182,    0.646286
  12.727273,    0.670154
  13.636364,    0.690182
  14.545455,    0.706775
  15.454545,    0.720507
  16.363636,    0.732096
  17.272727,    0.742459
  18.181818,    0.752632
  19.090909,    0.763013
  20.000000,    0.772230
