alpha body, CLh_e
 -10.000000,   -0.433588
  -9.000000,   -0.385727
  -8.000000,   -0.338873
  -7.000000,   -0.292981
  -6.000000,   -0.248133
  -5.000000,   -0.204325
  -4.000000,   -0.161541
  -3.000000,   -0.119738
  -2.000000,   -0.077118
  -1.000000,   -0.037060
   0.000000,    0.001931
   1.000000,    0.039852
   2.000000,    0.076664
   3.000000,    0.112390
   4.000000,    0.147074
   5.000000,    0.180693
   6.000000,    0.213208
   7.000000,    0.244632
   8.000000,    0.274948
   9.000000,    0.303987
  10.000000,    0.331040
  11.000000,    0.355613
  12.000000,    0.377522
  13.000000,    0.396831
  14.000000,    0.413833
  15.000000,    0.428989
  16.000000,    0.442895
  17.000000,    0.456219
  18.000000,    0.469666
  19.000000,    0.483453
