alpha body, CLh_e
 -10.000000,   -0.440862
  -9.000000,   -0.379958
  -8.000000,   -0.320067
  -7.000000,   -0.261151
  -6.000000,   -0.203300
  -5.000000,   -0.146516
  -4.000000,   -0.090788
  -3.000000,   -0.036080
  -2.000000,    0.019446
  -1.000000,    0.072325
   0.000000,    0.124082
   1.000000,    0.174711
   2.000000,    0.224162
   3.000000,    0.272458
   4.000000,    0.319638
   5.000000,    0.365677
   6.000000,    0.410528
   7.000000,    0.454200
   8.000000,    0.496671
   9.000000,    0.537626
  10.000000,    0.575724
  11.000000,    0.609887
  12.000000,    0.639526
  13.000000,    0.664477
  14.000000,    0.684986
  15.000000,    0.701630
  16.000000,    0.715292
  17.000000,    0.727088
  18.000000,    0.738325
  19.000000,    0.749911
  20.000000,    0.760161
