alpha body, CLh_e
 -10.000000,   -0.422795
  -9.090909,   -0.397020
  -8.181818,   -0.372017
  -7.272727,   -0.347833
  -6.363636,   -0.324500
  -5.454545,   -0.301989
  -4.545455,   -0.280217
  -3.636364,   -0.259248
  -2.727273,   -0.239112
  -1.818182,   -0.217940
  -0.909091,   -0.199117
  -0.000000,   -0.181084
   0.909091,   -0.163839
   1.818182,   -0.147410
   2.727273,   -0.131797
   3.636364,   -0.117008
   4.545455,   -0.103011
   5.454545,   -0.089778
   6.363636,   -0.077337
   7.272727,   -0.065712
   8.181818,   -0.054883
   9.090909,   -0.044784
  10.000000,   -0.035188
  10.909091,   -0.025843
