alpha body, Static Stability Margin
 -10.000000,    0.048068
  -9.000000,    0.038177
  -8.000000,    0.018616
  -7.000000,   -0.000552
  -6.000000,   -0.018926
  -5.000000,   -0.036656
  -4.000000,   -0.050788
  -3.000000,   -0.060677
  -2.000000,   -0.078829
  -1.000000,   -0.096907
   0.000000,   -0.105264
   1.000000,   -0.113092
   2.000000,   -0.120903
   3.000000,   -0.128271
   4.000000,   -0.135163
   5.000000,   -0.141166
   6.000000,   -0.146409
   7.000000,   -0.151339
   8.000000,   -0.156019
   9.000000,   -0.160270
  10.000000,   -0.164073
  11.000000,   -0.174568
  12.000000,   -0.209337
  13.000000,   -0.313154
  14.000000,   -0.561235
