alpha body, Static Stability Margin
 -10.000000,    0.326390
  -9.000000,    0.316482
  -8.000000,    0.296836
  -7.000000,    0.277486
  -6.000000,    0.258852
  -5.000000,    0.240797
  -4.000000,    0.225964
  -3.000000,    0.214948
  -2.000000,    0.196345
  -1.000000,    0.177824
   0.000000,    0.168265
   1.000000,    0.159206
   2.000000,    0.150106
   3.000000,    0.141393
   4.000000,    0.133117
   5.000000,    0.125755
   6.000000,    0.119184
   7.000000,    0.112884
   8.000000,    0.106790
   9.000000,    0.101099
  10.000000,    0.095899
  11.000000,    0.084904
  12.000000,    0.052635
  13.000000,   -0.040779
  14.000000,   -0.259890
  15.000000,   -1.341402
  16.000000,   -5.979413
  17.000000,   -8.611531
  18.000000,   -4.893344
  19.000000,   -1.544813
  20.000000,   -0.840575
