alpha body, Static Stability Margin
 -10.000000,    0.330346
  -9.090909,    0.321485
  -8.181818,    0.304192
  -7.272727,    0.287049
  -6.363636,    0.269550
  -5.454545,    0.252371
  -4.545455,    0.236171
  -3.636364,    0.223015
  -2.727273,    0.215493
  -1.818182,    0.198945
  -0.909091,    0.180387
  -0.000000,    0.171846
   0.909091,    0.163079
   1.818182,    0.154552
   2.727273,    0.146995
   3.636364,    0.139890
   4.545455,    0.132697
   5.454545,    0.125949
   6.363636,    0.120072
   7.272727,    0.114599
   8.181818,    0.109075
   9.090909,    0.104064
  10.000000,    0.099747
  10.909091,    0.091889
  11.818182,    0.064214
  12.727273,   -0.002442
  13.636364,   -0.144505
  14.545455,   -0.582089
  15.454545,   -2.625164
  16.363636,   -8.490513
  17.272727,   -9.174292
  18.181818,   -3.822369
  19.090909,   -1.377165
  20.000000,   -0.805045
