alpha body, Static Stability Margin
 -10.000000,    0.460847
  -9.090909,    0.452393
  -8.181818,    0.435859
  -7.272727,    0.419441
  -6.363636,    0.402681
  -5.454545,    0.386194
  -4.545455,    0.370595
  -3.636364,    0.357881
  -2.727273,    0.350523
  -1.818182,    0.334555
  -0.909091,    0.316668
  -0.000000,    0.308315
   0.909091,    0.299741
   1.818182,    0.291386
   2.727273,    0.283962
   3.636364,    0.276972
   4.545455,    0.269892
   5.454545,    0.263240
   6.363636,    0.257441
   7.272727,    0.252036
   8.181818,    0.246576
   9.090909,    0.241621
  10.000000,    0.237367
  10.909091,    0.229892
  11.818182,    0.204074
  12.727273,    0.142321
  13.636364,    0.011412
  14.545455,   -0.393264
  15.454545,   -2.287221
  16.363636,   -7.634216
  17.272727,   -8.312867
  18.181818,   -3.472781
  19.090909,   -1.179081
  20.000000,   -0.635883
