alpha body, Static Stability Margin
 -10.000000,    0.131568
  -9.090909,    0.122928
  -8.181818,    0.106081
  -7.272727,    0.089431
  -6.363636,    0.072502
  -5.454545,    0.055937
  -4.545455,    0.040344
  -3.636364,    0.028011
  -2.727273,    0.021799
  -1.818182,    0.005977
  -0.909091,   -0.012104
  -0.000000,   -0.019520
   0.909091,   -0.027076
   1.818182,   -0.034379
   2.727273,   -0.040774
   3.636364,   -0.046700
   4.545455,   -0.052625
   5.454545,   -0.058108
   6.363636,   -0.062796
   7.272727,   -0.067068
   8.181818,   -0.071307
   9.090909,   -0.075057
  10.000000,   -0.078214
  10.909091,   -0.085231
  11.818182,   -0.113604
  12.727273,   -0.184454
  13.636364,   -0.338244
  14.545455,   -0.814309
  15.454545,   -3.047108
