Mach, Specific Range
   0.225129,    0.192932
   0.227459,    0.195342
   0.229789,    0.197784
   0.232119,    0.200167
   0.234449,    0.202491
   0.236778,    0.204758
   0.239108,    0.206924
   0.241438,    0.209034
   0.243768,    0.211090
   0.246098,    0.213058
   0.248428,    0.214949
   0.250757,    0.216787
   0.253087,    0.218510
   0.255417,    0.220170
   0.257747,    0.221775
   0.260077,    0.223270
   0.262407,    0.224737
   0.264736,    0.226083
   0.267066,    0.227396
   0.269396,    0.228605
   0.271726,    0.229770
   0.274056,    0.230838
   0.276386,    0.231865
   0.278715,    0.232787
   0.281045,    0.233686
   0.283375,    0.234460
   0.285705,    0.235225
   0.288035,    0.235868
   0.290365,    0.236482
   0.292695,    0.237026
   0.295024,    0.237489
   0.297354,    0.237941
   0.299684,    0.238263
   0.302014,    0.238315
   0.304344,    0.238288
   0.306674,    0.238158
   0.309003,    0.238019
   0.311333,    0.237824
   0.313663,    0.237546
   0.315993,    0.237261
   0.318323,    0.236927
   0.320653,    0.236508
   0.322982,    0.236082
   0.325312,    0.235640
   0.327642,    0.235087
   0.329972,    0.234528
   0.332302,    0.233962
   0.334632,    0.233329
   0.336961,    0.232646
   0.339291,    0.231957
   0.341621,    0.231264
   0.343951,    0.230485
   0.346281,    0.229683
   0.348611,    0.228877
   0.350941,    0.228058
   0.353270,    0.227152
   0.355600,    0.226218
   0.357930,    0.225284
   0.360260,    0.224349
   0.362590,    0.223386
   0.364920,    0.222362
   0.367249,    0.221339
   0.369579,    0.220317
   0.371909,    0.219297
   0.374239,    0.218239
   0.376569,    0.217141
   0.378899,    0.216045
   0.381228,    0.214953
   0.383558,    0.213863
   0.385888,    0.212764
   0.388218,    0.211607
   0.390548,    0.210455
   0.392878,    0.209308
   0.395207,    0.208165
   0.397537,    0.207028
   0.399867,    0.205873
   0.402197,    0.204643
   0.404527,    0.203419
   0.406857,    0.202201
   0.409187,    0.200991
   0.411516,    0.199787
   0.413846,    0.198591
   0.416176,    0.197354
   0.418506,    0.196114
   0.420836,    0.194883
   0.423166,    0.193661
   0.425495,    0.192446
   0.427825,    0.191241
   0.430155,    0.190043
   0.432485,    0.188826
   0.434815,    0.187594
   0.437145,    0.186372
   0.439474,    0.185159
   0.441804,    0.183956
   0.444134,    0.182762
   0.446464,    0.181577
   0.448794,    0.180401
   0.451124,    0.179197
   0.453453,    0.177948
   0.455783,    0.176711
