alpha body, CM
  -4.000000,   -0.187999
  -3.517241,   -0.181905
  -3.034483,   -0.175616
  -2.551724,   -0.169123
  -2.068966,   -0.162438
  -1.586207,   -0.155549
  -1.103448,   -0.148467
  -0.620690,   -0.141180
  -0.137931,   -0.133699
   0.344828,   -0.126014
   0.827586,   -0.118133
   1.310345,   -0.110049
   1.793103,   -0.101769
   2.275862,   -0.086075
   2.758621,   -0.077583
   3.241379,   -0.068893
   3.724138,   -0.060005
   4.206897,   -0.050920
   4.689655,   -0.041633
   5.172414,   -0.032149
   5.655172,   -0.022461
   6.137931,   -0.012575
   6.620690,   -0.002486
   7.103448,    0.007803
   7.586207,    0.018294
   8.068966,    0.028988
   8.551724,    0.039880
   9.034483,    0.050977
   9.517241,    0.062272
  10.000000,    0.073416
