alpha body, CM
  -4.000000,    0.425174
  -3.517241,    0.404308
  -3.034483,    0.383519
  -2.551724,    0.362785
  -2.068966,    0.342114
  -1.586207,    0.321496
  -1.103448,    0.300930
  -0.620690,    0.280415
  -0.137931,    0.259951
   0.344828,    0.239548
   0.827586,    0.219195
   1.310345,    0.198890
   1.793103,    0.178634
   2.275862,    0.158426
   2.758621,    0.138274
   3.241379,    0.118169
   3.724138,    0.098109
   4.206897,    0.078095
   4.689655,    0.058125
   5.172414,    0.038205
   5.655172,    0.018331
   6.137931,   -0.001502
   6.620690,   -0.021293
   7.103448,   -0.041043
   7.586207,   -0.060749
   8.068966,   -0.083722
   8.551724,   -0.116744
   9.034483,   -0.151048
   9.517241,   -0.186326
  10.000000,   -0.223252
