alpha body, CM
  -4.000000,    0.000570
  -3.517241,    0.000539
  -3.034483,    0.000509
  -2.551724,    0.000480
  -2.068966,    0.000452
  -1.586207,    0.000425
  -1.103448,    0.000399
  -0.620690,    0.000374
  -0.137931,    0.000349
   0.344828,    0.000326
   0.827586,    0.000303
   1.310345,    0.000281
   1.793103,    0.000260
   2.275862,    0.000239
   2.758621,    0.000219
   3.241379,    0.000199
   3.724138,    0.000180
   4.206897,    0.000161
   4.689655,    0.000143
   5.172414,    0.000125
   5.655172,    0.000107
   6.137931,    0.000089
   6.620690,    0.000072
   7.103448,    0.000054
   7.586207,    0.000037
   8.068966,    0.000017
   8.551724,   -0.000012
   9.034483,   -0.000042
   9.517241,   -0.000074
  10.000000,   -0.000109
