eta, Ccl add.
   0.000000,    0.301177
   0.020408,    0.296642
   0.040816,    0.296296
   0.061224,    0.295613
   0.081633,    0.294563
   0.102041,    0.293131
   0.122449,    0.291314
   0.142857,    0.289108
   0.163265,    0.286518
   0.183673,    0.283547
   0.204082,    0.280205
   0.224490,    0.276502
   0.244898,    0.272457
   0.265306,    0.268093
   0.285714,    0.263451
   0.306122,    0.258596
   0.326531,    0.253485
   0.346939,    0.247598
   0.367347,    0.244595
   0.387755,    0.240691
   0.408163,    0.236925
   0.428571,    0.233231
   0.448980,    0.229570
   0.469388,    0.225916
   0.489796,    0.222251
   0.510204,    0.218562
   0.530612,    0.214837
   0.551020,    0.211068
   0.571429,    0.207247
   0.591837,    0.203367
   0.612245,    0.199422
   0.632653,    0.195404
   0.653061,    0.191306
   0.673469,    0.187118
   0.693878,    0.182832
   0.714286,    0.178433
   0.734694,    0.173904
   0.755102,    0.169226
   0.775510,    0.164368
   0.795918,    0.159291
   0.816327,    0.153941
   0.836735,    0.148239
   0.857143,    0.142071
   0.877551,    0.135262
   0.897959,    0.127542
   0.918367,    0.118469
   0.938776,    0.107281
   0.959184,    0.092544
   0.979592,    0.071048
   1.000000,    0.000000
