eta, Ccl add.
   0.000000,    1.282370
   0.020408,    1.263059
   0.040816,    1.261588
   0.061224,    1.258679
   0.081633,    1.254207
   0.102041,    1.248112
   0.122449,    1.240372
   0.142857,    1.230982
   0.163265,    1.219951
   0.183673,    1.207304
   0.204082,    1.193073
   0.224490,    1.177309
   0.244898,    1.160083
   0.265306,    1.141503
   0.285714,    1.121738
   0.306122,    1.101067
   0.326531,    1.079306
   0.346939,    1.054238
   0.367347,    1.041451
   0.387755,    1.024826
   0.408163,    1.008793
   0.428571,    0.993065
   0.448980,    0.977478
   0.469388,    0.961920
   0.489796,    0.946315
   0.510204,    0.930607
   0.530612,    0.914747
   0.551020,    0.898699
   0.571429,    0.882430
   0.591837,    0.865910
   0.612245,    0.849111
   0.632653,    0.832003
   0.653061,    0.814553
   0.673469,    0.796724
   0.693878,    0.778472
   0.714286,    0.759741
   0.734694,    0.740461
   0.755102,    0.720540
   0.775510,    0.699855
   0.795918,    0.678240
   0.816327,    0.655460
   0.836735,    0.631182
   0.857143,    0.604916
   0.877551,    0.575925
   0.897959,    0.543055
   0.918367,    0.504425
   0.938776,    0.456786
   0.959184,    0.394040
   0.979592,    0.302513
   1.000000,    0.000000
