eta, Ccl add.
   0.000000,    5.207140
   0.020408,    5.128729
   0.040816,    5.122756
   0.061224,    5.110943
   0.081633,    5.092783
   0.102041,    5.068037
   0.122449,    5.036606
   0.142857,    4.998476
   0.163265,    4.953687
   0.183673,    4.902330
   0.204082,    4.844545
   0.224490,    4.780533
   0.244898,    4.710587
   0.265306,    4.635144
   0.285714,    4.554887
   0.306122,    4.470948
   0.326531,    4.382586
   0.346939,    4.280798
   0.367347,    4.228874
   0.387755,    4.161370
   0.408163,    4.096265
   0.428571,    4.032402
   0.448980,    3.969107
   0.469388,    3.905935
   0.489796,    3.842572
   0.510204,    3.778785
   0.530612,    3.714386
   0.551020,    3.649221
   0.571429,    3.583159
   0.591837,    3.516080
   0.612245,    3.447866
   0.632653,    3.378398
   0.653061,    3.307542
   0.673469,    3.235147
   0.693878,    3.161033
   0.714286,    3.084974
   0.734694,    3.006685
   0.755102,    2.925795
   0.775510,    2.841804
   0.795918,    2.754033
   0.816327,    2.661535
   0.836735,    2.562952
   0.857143,    2.456300
   0.877551,    2.338580
   0.897959,    2.205109
   0.918367,    2.048246
   0.938776,    1.854808
   0.959184,    1.600024
   0.979592,    1.228373
   1.000000,    0.000000
