Ground Roll Distance, Horizontal Forces
   0.000000, 9990.552538
   0.000000, 9951.128811
   0.000000, 9683.957531
   0.000000, 9631.403795
   0.000000, 9579.139095
   0.000000, 9527.161545
   0.000000, 9475.469275
   0.000000, 9465.164891
   0.000000, 9465.130510
   0.000000, 9465.118417
   0.000000, 9465.105545
   0.000000, 9465.103806
   0.000000, 9465.098449
   0.000000, 9465.044883
   0.000000, 9464.509194
   0.000000, 9459.150339
   0.000000, 9405.364851
   0.000000, 8847.755698
   0.000000, 8092.724151
   0.000000, 7309.480173
   0.000000, 6516.597394
   0.000000, 5725.772670
   0.000000, 4948.342948
   0.000000, 4195.272913
   0.000000, 3476.946833
   0.000000, 3436.527085
   0.000000, 3390.096975
   0.000000, 2931.124831
   0.000000, 2699.459878
   0.000000, 2567.163181
   0.000000, 2499.769958
   0.000000, 2439.385245
   0.000000, 1857.242755
   0.000000, 1716.342344
   0.000000, 1567.679844
   0.000000, 1528.812739
   0.000000, 1464.244226
   0.000000,  952.727046
   0.000000,  526.490449
   0.000000,  440.646231
   0.000000,  408.791610
   0.000000,  385.665815
   0.000000,  376.759519
   0.000000,  367.849191
   0.000000,  284.084376
   0.000000,   61.753646
   0.000000,   28.373995
   0.000000,   15.386511
   0.000000,    7.103217
   0.000000,    2.224295
   0.000000,    0.156588
   0.000000,    0.021893
   0.000000,    0.002805
   0.000000,    0.000006
   0.000000,    0.000000
