CL_e, delta_e_eq
  -0.834340,    0.100052
  -0.734481,    0.069974
  -0.634756,    0.021088
  -0.535148,   -0.044210
  -0.435671,   -0.127882
  -0.336334,   -0.231351
  -0.237134,   -0.353932
  -0.138050,   -0.493011
  -0.039102,   -0.637830
   0.060096,   -0.774062
   0.158840,   -0.960747
   0.257464,   -1.151335
   0.355951,   -1.347973
   0.454298,   -1.551286
   0.552513,   -1.760619
   0.650606,   -1.975021
   0.748560,   -2.196606
   0.846376,   -2.425458
   0.944065,   -2.660653
   1.041629,   -2.902160
   1.139055,   -3.151863
   1.236345,   -3.409556
   1.333512,   -3.674313
   1.430439,   -3.947961
   1.520674,   -4.271062
   1.591665,   -4.751169
   1.637257,   -5.433965
   1.658685,   -6.315633
   1.664543,   -7.421725
   1.670729,   -8.836019
   1.699688,  -10.297183
   1.781700,  -11.568398
   1.954918,  -12.441710
   2.264071,  -12.517147
