CL_e, delta_e_eq
  -0.816510,    4.489458
  -0.708957,    3.884375
  -0.601561,    3.257410
  -0.494323,    2.608663
  -0.387242,    1.937954
  -0.280304,    1.247722
  -0.173512,    0.537713
  -0.066874,   -0.176504
   0.039976,   -0.895797
   0.146380,   -1.659801
   0.252633,   -2.429716
   0.358745,   -3.202972
   0.464707,   -3.981662
   0.570514,   -4.766280
   0.676166,   -5.562444
   0.781667,   -6.367032
   0.887030,   -7.176360
   0.992246,   -7.992246
   1.097310,   -8.848325
   1.202223,   -9.736337
   1.306986,  -10.632488
   1.411307,  -11.537198
   1.504001,  -12.661970
   1.567265,  -13.905038
   1.596608,  -16.118885
   1.602057,  -24.281209
   1.608063,  -25.000000
