CL_e, delta_e_eq
  -0.847397,    0.197172
  -0.735773,    0.158056
  -0.624312,    0.096330
  -0.513015,    0.011928
  -0.401882,   -0.095464
  -0.290902,   -0.223971
  -0.180076,   -0.373765
  -0.069413,   -0.529063
   0.041466,   -0.688899
   0.151877,   -0.896410
   0.262127,   -1.110480
   0.372226,   -1.329309
   0.482163,   -1.555102
   0.591933,   -1.788562
   0.701537,   -2.030203
   0.810979,   -2.279707
   0.920271,   -2.535400
   1.029404,   -2.799204
   1.138373,   -3.071881
   1.247179,   -3.354273
   1.355823,   -3.645914
   1.464002,   -3.948570
   1.560126,   -4.345900
   1.625751,   -4.959471
   1.656241,   -5.897781
   1.662002,   -7.025936
   1.668373,   -8.441078
   1.714631,   -9.890787
   1.855599,  -10.685386
