CL_e, delta_e_eq
  -0.867846,   -2.643531
  -0.753527,   -2.308023
  -0.639374,   -1.995648
  -0.525389,   -1.706582
  -0.411575,   -1.441476
  -0.297919,   -1.198293
  -0.184421,   -0.977200
  -0.071093,   -0.762469
   0.042452,   -0.551921
   0.155517,   -0.391011
   0.268412,   -0.237639
   0.381150,   -0.089974
   0.493719,    0.049711
   0.606114,    0.180795
   0.718334,    0.302730
   0.830384,    0.415715
   0.942277,    0.521533
   1.054004,    0.618180
   1.165559,    0.704839
   1.276942,    0.780651
   1.388155,    0.846099
   1.498888,    0.898509
   1.597283,    0.816940
   1.664471,    0.421096
   1.695720,   -0.402600
   1.701687,   -1.490612
   1.708300,   -2.852105
   1.755645,   -4.046673
   1.899748,   -4.350470
