CL_e, delta_e_eq
  -0.854711,   -2.763953
  -0.752413,   -2.450861
  -0.650251,   -2.157007
  -0.548210,   -1.880096
  -0.446304,   -1.622167
  -0.344542,   -1.384869
  -0.242922,   -1.167348
  -0.141423,   -0.966999
  -0.040064,   -0.773120
   0.061547,   -0.570118
   0.162692,   -0.419461
   0.263710,   -0.273477
   0.364587,   -0.134400
   0.465316,   -0.002910
   0.565907,    0.121782
   0.666370,    0.240708
   0.766688,    0.351504
   0.866860,    0.454062
   0.966899,    0.549389
   1.066807,    0.637534
   1.166569,    0.716485
   1.266189,    0.786455
   1.365679,    0.848490
   1.464920,    0.900375
   1.557308,    0.880132
   1.629998,    0.639288
   1.676698,    0.116892
   1.698680,   -0.677959
   1.704744,   -1.743778
   1.711161,   -3.080974
   1.740820,   -4.339370
   1.824665,   -5.262194
   2.001744,   -5.406846
   2.317757,   -4.524649
