CL_e, delta_e_eq
  -0.816401,    4.504625
  -0.708862,    3.897542
  -0.601481,    3.268580
  -0.494257,    2.617839
  -0.387190,    1.945141
  -0.280267,    1.252918
  -0.173489,    0.540930
  -0.066865,   -0.175262
   0.039971,   -0.896530
   0.146361,   -1.662499
   0.252599,   -2.434380
   0.358698,   -3.209593
   0.464645,   -3.990234
   0.570438,   -4.776797
   0.676077,   -5.575016
   0.781564,   -6.381555
   0.886913,   -7.192829
   0.992115,   -8.010654
   1.097165,   -8.870058
   1.202064,   -9.760130
   1.306814,  -10.658334
   1.411120,  -11.565084
   1.503803,  -12.698326
   1.567059,  -13.942924
   1.596398,  -16.244890
   1.601846,  -24.411734
   1.607850,  -25.000000
