CL_e, delta_e_eq
  -0.810882,    5.000000
  -0.704210,    4.544272
  -0.597667,    3.798870
  -0.491251,    3.035648
  -0.384966,    2.254350
  -0.278799,    1.456771
  -0.172753,    0.643158
  -0.066835,   -0.171103
   0.039318,   -0.987242
   0.145051,   -1.844500
   0.250658,   -2.704256
   0.356146,   -3.564299
   0.461507,   -4.426521
   0.566737,   -5.294049
   0.671836,   -6.170013
   0.776806,   -7.049037
   0.881659,   -7.929942
   0.986386,   -8.847238
   1.090984,   -9.796491
   1.195453,  -10.751020
   1.299795,  -11.720251
   1.403714,  -12.901282
   1.496071,  -14.117134
   1.559115,  -16.306415
   1.588351,  -24.222353
   1.593750,  -25.000000
