CL_e, delta_e_eq
  -0.803839,    4.389501
  -0.707633,    3.845512
  -0.611556,    3.283309
  -0.515591,    2.705443
  -0.419750,    2.109993
  -0.324044,    1.495810
  -0.228467,    0.863993
  -0.133000,    0.216692
  -0.037660,   -0.435259
   0.057923,   -1.079428
   0.153073,   -1.771329
   0.248111,   -2.466625
   0.343021,   -3.166692
   0.437801,   -3.872073
   0.532459,   -4.582060
   0.627003,   -5.298480
   0.721418,   -6.024564
   0.815706,   -6.756504
   0.909876,   -7.493489
   1.003930,   -8.235522
   1.097857,   -9.028803
   1.191660,   -9.835773
   1.285348,  -10.648940
   1.378810,  -11.469644
   1.465822,  -12.450438
   1.534270,  -13.556462
   1.578202,  -14.760466
   1.598802,  -20.335136
   1.604350,  -25.000000
