CL_e, delta_e_eq
  -0.847335,    0.205840
  -0.735719,    0.165582
  -0.624266,    0.102716
  -0.512977,    0.017176
  -0.401853,   -0.091353
  -0.290881,   -0.220994
  -0.180062,   -0.371920
  -0.069407,   -0.528347
   0.041463,   -0.689314
   0.151866,   -0.897950
   0.262108,   -1.113142
   0.372199,   -1.333091
   0.482127,   -1.560001
   0.591890,   -1.794581
   0.701486,   -2.037333
   0.810919,   -2.287945
   0.920203,   -2.544743
   1.029329,   -2.809649
   1.138290,   -3.083424
   1.247088,   -3.366912
   1.355724,   -3.659645
   1.463895,   -3.963388
   1.560013,   -4.361683
   1.625633,   -4.975918
   1.656120,   -5.914706
   1.661880,   -7.042950
   1.668251,   -8.459365
   1.714505,   -9.909573
   1.855464,  -10.705612
