eta, cCl
   0.000000,    2.886822
   0.020408,    2.868756
   0.040816,    2.870263
   0.061224,    2.871551
   0.081633,    2.872225
   0.102041,    2.872059
   0.122449,    2.870904
   0.142857,    2.868659
   0.163265,    2.865251
   0.183673,    2.860628
   0.204082,    2.854749
   0.224490,    2.847580
   0.244898,    2.839096
   0.265306,    2.829272
   0.285714,    2.818085
   0.306122,    2.805514
   0.326531,    2.791536
   0.346939,    2.776126
   0.367347,    2.759257
   0.387755,    2.740900
   0.408163,    2.721022
   0.428571,    2.699583
   0.448980,    2.676540
   0.469388,    2.651844
   0.489796,    2.625435
   0.510204,    2.597240
   0.530612,    2.567179
   0.551020,    2.535170
   0.571429,    2.501110
   0.591837,    2.464881
   0.612245,    2.426343
   0.632653,    2.385335
   0.653061,    2.341668
   0.673469,    2.295120
   0.693878,    2.245428
   0.714286,    2.192280
   0.734694,    2.135305
   0.755102,    2.074057
   0.775510,    2.007992
   0.795918,    1.936448
   0.816327,    1.858604
   0.836735,    1.773426
   0.857143,    1.679588
   0.877551,    1.575326
   0.897959,    1.458199
   0.918367,    1.324596
   0.938776,    1.168663
   0.959184,    0.979455
   0.979592,    0.730439
   1.000000,    0.000000
