eta, cCl
   0.000000,    0.577364
   0.020408,    0.573751
   0.040816,    0.574053
   0.061224,    0.574310
   0.081633,    0.574445
   0.102041,    0.574412
   0.122449,    0.574181
   0.142857,    0.573732
   0.163265,    0.573050
   0.183673,    0.572126
   0.204082,    0.570950
   0.224490,    0.569516
   0.244898,    0.567819
   0.265306,    0.565854
   0.285714,    0.563617
   0.306122,    0.561103
   0.326531,    0.558307
   0.346939,    0.555225
   0.367347,    0.551851
   0.387755,    0.548180
   0.408163,    0.544204
   0.428571,    0.539917
   0.448980,    0.535308
   0.469388,    0.530369
   0.489796,    0.525087
   0.510204,    0.519448
   0.530612,    0.513436
   0.551020,    0.507034
   0.571429,    0.500222
   0.591837,    0.492976
   0.612245,    0.485269
   0.632653,    0.477067
   0.653061,    0.468334
   0.673469,    0.459024
   0.693878,    0.449086
   0.714286,    0.438456
   0.734694,    0.427061
   0.755102,    0.414811
   0.775510,    0.401598
   0.795918,    0.387290
   0.816327,    0.371721
   0.836735,    0.354685
   0.857143,    0.335918
   0.877551,    0.315065
   0.897959,    0.291640
   0.918367,    0.264919
   0.938776,    0.233733
   0.959184,    0.195891
   0.979592,    0.146088
   1.000000,    0.000000
