Ground Distance, Fuel Used
   0.000000,    0.000000
   1.888207,    1.073963
   7.515043,    2.148860
  16.823440,    3.224369
  29.755848,    4.300269
  46.254292,    5.376424
  66.260421,    6.452722
  89.715560,    7.529136
 116.560764,    8.605711
 146.736874,    9.682503
 180.184565,   10.759547
 216.844408,   11.836988
 256.656958,   12.914925
 299.562843,   13.993347
 345.502892,   15.072352
 394.418214,   16.151951
 446.250302,   17.232092
 500.941031,   18.312883
 556.079956,   19.351002
 616.213220,   20.433089
 655.025820,   21.107067
 693.878315,   21.764589
 726.593608,   22.306427
 793.579443,   23.390576
 861.925148,   24.475024
 882.696589,   24.801632
 952.123568,   25.885805
1022.084086,   26.969448
1092.405670,   28.052366
1162.982808,   29.134430
1230.337953,   30.163162
1301.348304,   31.243468
1372.585930,   32.322889
1444.038270,   33.401404
1515.687039,   34.478991
1587.508987,   35.555621
1659.476815,   36.631261
1731.560201,   37.705878
1735.058764,   37.757972
1807.227413,   38.831476
1879.437336,   39.903881
1882.668506,   39.951836
1954.885567,   41.023053
2027.102302,   42.093120
2099.318880,   43.162034
2171.535327,   44.229796
2243.751918,   45.296408
2315.968655,   46.361871
2388.185521,   47.426189
2426.689780,   47.993188
2498.906422,   49.042480
2571.122574,   50.064150
2643.338645,   51.058289
2715.554982,   52.024987
2787.771734,   52.977561
2859.988903,   53.929275
2932.206388,   54.880138
3004.424140,   55.830154
3076.642061,   56.779323
3148.860138,   57.727647
3221.078345,   58.675129
3293.296642,   59.621768
3365.515076,   60.567566
3437.733634,   61.512525
3509.952302,   62.456646
3582.171080,   63.399930
3654.389978,   64.342379
3726.609012,   65.283993
3798.828159,   66.224775
3871.047458,   67.164724
3943.266887,   68.103844
4015.486429,   69.042134
4087.706077,   69.979597
4159.925834,   70.916233
4232.145720,   71.852046
4304.365716,   72.787044
4376.585853,   73.721231
4448.806133,   74.654608
4521.026541,   75.587175
4593.247065,   76.518934
4665.467717,   77.449887
4737.688476,   78.380034
4809.909349,   79.309377
4882.130381,   80.237917
4954.351550,   81.165655
5026.572856,   82.092592
5098.794319,   83.018730
5171.015915,   83.944070
5243.237665,   84.868613
5315.459555,   85.792361
5387.681592,   86.715314
5459.903782,   87.637473
5532.126137,   88.558841
5604.348656,   89.479417
5676.571324,   90.399205
5748.794111,   91.318203
5821.017066,   92.236415
5893.240200,   93.153840
5965.463488,   94.070481
6037.686895,   94.986319
6109.910303,   95.900612
6182.133974,   96.812980
6254.357622,   97.723428
6326.581440,   98.631963
6398.805396,   99.538591
6471.029517,  100.443320
6543.253833,  101.346155
6615.478305,  102.247105
6687.702880,  103.146175
6759.927552,  104.043372
6832.152347,  104.938703
6904.377267,  105.832175
6976.602271,  106.723793
7048.827360,  107.613566
7121.052549,  108.501499
7193.277872,  109.387600
7265.503299,  110.271874
7337.728820,  111.154328
7409.954440,  112.034970
7482.180153,  112.913804
7554.405954,  113.790839
7626.631856,  114.666079
7698.857880,  115.539533
7771.084039,  116.411205
7843.310341,  117.281103
7915.536769,  118.149233
7987.763299,  119.015601
8000.000000,  119.162208
