alpha, CL
   0.000000,    0.501241
   1.578947,    0.571304
   3.157895,    0.641367
   4.736842,    0.711430
   6.315789,    0.781493
   7.894737,    0.851556
   9.473684,    0.921619
  11.052632,    0.991682
  12.631579,    1.061997
  14.210526,    1.133563
  15.789474,    1.207156
  17.368421,    1.283085
  18.947368,    1.361194
  20.526316,    1.440860
  22.105263,    1.520996
  23.684211,    1.600049
  25.263158,    1.676000
  26.842105,    1.746363
  28.421053,    1.808188
  30.000000,    1.858059
