alpha, CL
   0.000000,    0.000000
   1.578947,    0.070063
   3.157895,    0.140126
   4.736842,    0.210189
   6.315789,    0.280252
   7.894737,    0.350315
   9.473684,    0.420379
  11.052632,    0.490442
  12.631579,    0.560756
  14.210526,    0.632323
  15.789474,    0.705916
  17.368421,    0.781844
  18.947368,    0.859953
  20.526316,    0.939619
  22.105263,    1.019756
  23.684211,    1.098809
  25.263158,    1.174759
  26.842105,    1.245122
  28.421053,    1.306947
  30.000000,    1.356818
